,Idiom,Meaning,literal_translation,Example,Translation_to_ENG_batch
58,perder los estribos,to fly off the handle,to lose the stirrup, ,fly off the handle
59,tirar la casa por la ventana,to spare no expense,to throw the house out the window, ,Throw the house out the window
60,Take his word for it,Hay que darle el beneficio de la duda, , ,Take his word for it
61,Take the good with the bad,El que se come la carne que se coma también el hueso, , ,Take the good with the bad
62,Take the good with the bad,Vayan las verdes por las maduras, , ,Take the good with the bad
63,Take the horse by the reigns,Coger el sartén por el mango, , ,Take the horse by the reigns
64,Take with a grain of salt,Las cosas se toman según de quien vengan, , ,Take with a grain of salt
65,Test the waters,Hay que estirar los pies hasta donde llegue la sábana, , ,Test the waters
66,That’s a whole different story,Eso es harina de otro costal, , ,That's a whole different story
67,That’s a whole different story,Eso son otros veinte pesos, , ,That's a whole different story
68,That’s all she wrote,"Para al carajo albañil, que se acabó la mezcla", , ,That's all she wrote
69,The apple doesn’t fall far from the tree,"De tal padre, tal hijo", , ,The apple doesn't fall far from the tree
70,The bee’s knees,Creerse la última Coca Cola del desierto, , ,The bee's knees
71,The best of both worlds,"Es como el perro del hortelano, que ni come ni deja comer", , ,The best of both worlds
72,The best thing since sliced bread,Creerse la última Coca cola del desierto, , ,The best thing since sliced ​​bread
73,The blind leading the blind,Es como un ciego guiando a otro ciego, , ,The blind leading the blind
74,The early bird catches the worm,"Al que madruga, Dios lo ayuda", , ,The early bird catches the worm
75,The fox guarding the chicken coop,Poner el cabro a velar las lechugas, , ,The fox guarding the chicken coop
76,The grass is greener on the other side,La luz de adelante es la que alumbra, , ,The grass is greener on the other side
77,The Lord works in mysterious ways,Dios aprieta pero no ahoga, , ,The Lord works in mysterious ways
78,The more the merrier,"Donde comen dos, comen tres", , ,The more the merrier
79,The person is a bad apple,Cuando no está preso lo andan buscando, , ,The person is a bad apple
80,The pot calling the kettle black,Un conejo [burro] hablando del tamaño de las orejas, , ,The pot calling the kettle black
81,The pot calling the kettle black,Un muerto hablando de un ahorcado, , ,The pot calling the kettle black
82,The quickest way to a man’s heart is through his stomach,El amor entra por la cocina, , ,The quickest way to a man's heart is through his stomach
83,The road to hell is paved with good intentions,El infierno está lleno de buenas intenciones, , ,The road to hell is paved with good intentions
84,The rotten apple spoils the barrel,Una manzana podrida daña el barril, , ,The rotten apple spoils the barrel
85,The straw that broke the camel’s back,La gota que colmó la copa, , ,The straw that broke the camel's back
86,The war’s not over yet,Una batalla no gana una guerra, , ,The war's not over yet
87,There is a remedy for everything except death,"En la vida todo tiene remedio, menos la muerte", , ,There is a remedy for everything except death
88,There is an exception to every rule,No hay regla sin excepción, , ,There is an exception to every rule
89,There’s a sucker born every minute,Todo los días se tira un bobo a la calle, , ,There's a sucker born every minute
90,There’s no accounting for tastes,Hay gustos que merecen palos, , ,There's no accounting for tastes
91,There’s no accounting for tastes,Sobre los gustos no hay nada escrito, , ,There's no accounting for tastes
92,There’s no place like home,Seguro es el pájaro en el nido, , ,There's no place like home
93,There’s none so deaf as those who will not hear,No hay peor ciego que el que no quiere ver, , ,There's none so deaf as those who will not hear
94,Thin as a rail,Lo que te queda es el solar y no es tuyo, , ,Thin as a rail
95,Things are getting ugly,Esto ya pasa de castaño oscuro, , ,Things are getting ugly
96,Things are taking a turn for the worse,Esto ya pasa de castaño oscuro, , ,Things are taking a turn for the worse
97,Three’s a charm,La tercera es la vencida, , ,Three's a charm
98,Timbuktu,Anduvo la Ceca y la Meca, , ,Timbuktu
99,Time heals all wounds,El tiempo lo cura todo, , ,Time heals all wounds
100,Time is money,El tiempo es oro, , ,Time is money
101,To all be in the same boat,Somos muchos los hijos del muerto, , ,To all be in the same boat
102,To be in a jam,Estar con la soga al cuello, , ,To be in a jam
103,To be in the same boat,Mal de muchos consuelo de tontos, , ,To be in the same boat
104,To be scared out of your mind,Quedarse con los pelos de punta, , ,To be scared out of your mind
105,To be worked to death,Ha corrido hasta sin aceite, , ,To be worked to death
106,To each his own,Cada cual a lo suyo, , ,To each his own
107,To each his own,Cada gallina a su gallinero, , ,To each his own
108,To each his own,Cada loco con su tema, , ,To each his own
109,To each his own,Cada oveja con su pareja, , ,To each his own
110,To each his own,Hay de todo en la viña del Señor, , ,To each his own
111,To each his own,"Para los gustos, los colores", , ,To each his own
112,To each his own,Sobre los gustos no hay nada escrito, , ,To each his own
113,To each his own,Zapatero a sus zapatos, , ,To each his own
114,To feel like a million bucks,Sentirse como un billete de cien pesos, , ,To feel like a million bucks
115,To get what’s coming to you,Alábate pollo que mañana te guisan, , ,To get what's coming to you
116,To give away the house,El que da lo que tiene a pedir se atiene, , ,To give away the house
117,To grab the bull by the horns,Coger al toro por los cuernos, , ,To grab the bull by the horns
118,To have ants in your pants,Tener hormiguillas en el culo, , ,To have ants in your pants
119,To have one’s hair stand on end,Quedarse con los pelos de punta, , ,To have one's hair stand on end
120,To have pie on his face,Volvió con el rabo entre medio de las patas, , ,To have foot on his face
121,To look out for Number One,Cada cual se reparte con la cuchara grande, , ,To look out for Number One
122,To make a long story short,Para hacerte el cuento corto, , ,To make a long story short
123,To make a mountain out of a molehill,Ahogarse en un vaso de agua, , ,To make a mountain out of a molehill
124,To make something good from nothing,Hay que hacer de tripas corazones, , ,To make something good from nothing
125,To mix like oil and water,Ser como el aceite y el vinagre, , ,To mix like oil and water
126,To not defend oneself,No da un tajo ni en defensa propia, , ,To not defend oneself
127,To not have anything to hide,El que no tiene hechas no tiene sospechas, , ,To not have anything to hide
128,To reach one’s limit,El que nace para chavito prieto nunca llega a vellón, , ,To reach one's limit
129,To roll right off of,Se le pasea el alma por el cuerpo, , ,To roll right off of
130,To screw up,Meter la pata, , ,To screw up
131,To slide off of,Se le pasea el alma por el cuerpo, , ,To slide off of
132,To sound like a broken record,Eso es como llover sobre mojado, , ,To sound like a broken record
133,To think he’s the bomb,Creerse la última Coca Cola del desierto, , ,To think he's the bomb
134,To wipe out,Caerse como una guanábana, , ,To wipe out
135,Tomorrow is another day,Mañana será otro día, , ,Tomorrow is another day
136,Too many chiefs and not enough indians,Muchos caciques y pocos indios, , ,Too many chiefs and not enough Indians
137,Too many cooks spoil the broth,Muchos cocineros dañan la comida, , ,Too many cooks spoil the broth
138,Too much of a good thing,Todo en exceso hace daño, , ,Too much of a good thing
139,Too much of a good thing,"Lo poquito agrada, lo mucho enfada", , ,Too much of a good thing
140,Two heads are better than one,Cuatro ojos ven más que dos, , ,Two heads are better than one
141,Two heads are better than one,Dos cabezas piensan mejor que una, , ,Two heads are better than one
142,Two wrongs don’t make a right.,Dos males no hacen un bien, , ,Two wrongs don't make a right.
143,"United we stand, divided we fall",En la unión está la fuerza, , ,"United we stand, divided we fall"
144,Walls have ears,Las paredes tienen oídos y los montes ojos, , ,Walls have ears
145,Water under the bridge,Agua pasada no mueve molino, , ,Water under the bridge
146,Well begun is half done,Quien bien empieza bien acaba, , ,Well begun is half done
147,What comes around goes around,Estar probando su propia medicina, , ,What comes around goes around
148,What comes around goes around,"Hijo eres, padre serás, según lo hiciste, así lo verás", , ,What comes around goes around
149,What comes around goes around,"Ladrón que roba a ladrón, merece el perdón", , ,What comes around goes around
150,What goes up must come down,Todo lo que sube tiene que bajar, , ,What goes up must come down
151,"What the eye doesn’t see, the heart doesn’t grieve over","Ojos que no ven, corazón que no siente", , ,"What the eye doesn't see, the heart doesn't grieve over"
152,"When in Rome, do as the Romans",A la tierra que fueres haz lo que vieres, , ,"When in Rome, do as the Romans"
153,"When in Rome, do as the Romans",¿Dónde va Vicente? Donde va la gente, , ,"When in Rome, do as the Romans"
154,"When it rains, it pours","Al perro flaco, todas las pulgas le caen", , ,"When it rains, it pours"
155,"When it rains, it pours","Cuando uno está de malas, hasta la mujer se la pega!", , ,"When it rains, it pours"
156,"When it rains, it pours",Del árbol caído todos hacen leña, , ,"When it rains, it pours"
157,"When one door closes, another one opens","Cuando una puerta se cierra, cientas se abren", , ,"When one door closes, another one opens"
158,When pigs fly,Esto será cuando la rana eche pelo, , ,When pigs fly
159,"When poverty comes in at the door, love flies out of the window","Cuando la pobreza entra por la puerta, el amor sale por la ventana", , ,"When poverty comes in at the door, love flies out of the window"
160,"Where there’s smoke, there’s fire","Cuando el río suena, agua lleva", , ,"Where there's smoke, there's fire"
161,"Where there’s smoke, there’s fire",Cuando el río suena es porque algo trae, , ,"Where there's smoke, there's fire"
162,"Where there’s smoke, there’s fire",Si el rio suena es porque agua trae, , ,"Where there's smoke, there's fire"
163,"While there’s life, there’s hope",Mientras haya vida hay esperanza, , ,"While there's life, there's hope"
164,Wipe the slate clean,Aquí paz y en el cielo gloria, , ,Wipe the slate clean
165,Wipe the slate clean,Borrón y cuenta nueva, , ,Wipe the slate clean
166,With friends like that who needs enemies?,Con amigos así no hacen falta enemigos, , ,With friends like that who needs enemies?
167,With his tail between his legs,Volvió con el rabo entre medio de las patas, , ,With his tail between his legs
168,Won’t harm a fly,No mata ni una mosca, , ,Won't harm a fly
169,Worth its weight in gold,Vale más de lo que pesa en oro, , ,Worth its weight in gold
170,A bird in the hand is worth two in the bush,Más vale pájaro en mano que cien volando, , ,A bird in the hand is worth two in the bush
171,A bird in the hand is worth two in the bush,Más vale un hoy que dos mañanas, , ,A bird in the hand is worth two in the bush
172,A chain is only as strong as its weakest link,La soga rompe por lo más delgado, , ,A chain is only as strong as its weakest link
173,A chip off the old block,"De tal palo, tal astilla", , ,A chip off the old block
174,A chip off the old block,Quien lo hereda no lo hurta, , ,A chip off the old block
175,A friend in need is a friend indeed,Amigo en la adversidad es un amigo de verdad, , ,A friend in need is a friend indeed
176,A journey of a thousand miles begins with one step,Barco que no anda no llega a puerto, , ,A journey of a thousand miles begins with one step
177,A lot of hot air,De ese infierno no salen chispas, , ,A lot of hot air
178,A man is known by the company he keeps,Dime con quien andas y te diré quién eres, , ,A man is known by the company he keeps
179,A perfect match,Me viene como anillo al dedo, , ,A perfect match
180,"A prophet is not without honor, save in his own country",Nadie es profeta en su tierra [pueblo], , ,"A prophet is not without honor, save in his own country"
181,A taste of his own medicine,Estar probando su propia medicina, , ,A taste of his own medicine
182,A tiger doesn’t change its stripes,La yerba mala nunca se muere, , ,A tiger doesn't change its stripes
183,According to the latest gossip,"Dicen las malas lenguas, y la mía que no es muy buena también lo repita", , ,According to the latest gossip
184,Actions speak louder than words,El movimiento se demuestra andando, , ,Actions speak louder than words
185,Actions speak louder than words,La ley entra por la casa, , ,Actions speak louder than words
186,Actions speak louder than words,No es lo mismo decirlo que hacerlo, , ,Actions speak louder than words
187,After a storm comes a calm,"Después de la tormenta, siempre llega la calma", , ,After a storm comes a calm
188,"After marriage, life goes downhill","En vida de matrimonio, ni soso ni salado", , ,"After marriage, life goes downhill"
189,All bark and no bite,Mucho ruido y pocas nueces, , ,All bark and no bite
190,All cats are grey in the dark,De noche todos los gatos son prietos, , ,All cats are gray in the dark
191,All good things must end,Lo bueno dura poco, , ,All good things must end
192,All over the place,"Esta como el arroz blanco, en todas las partes", , ,All over the place
193,All that glitters is not gold,No todo lo que brilla es oro, , ,All that glitters is not gold
194,Always lands on his feet,"El que nace para bombero, del cielo le cae el sombrero", , ,Always lands on his feet
195,Always lands on his feet,El que nace para toro del cielo le caen los cuernos, , ,Always lands on his feet
196,Always room for one more,"Donde comen dos, comen tres", , ,Always room for one more
197,An eye for an eye,"Ojo por ojo, diente por diente", , ,An eye for an eye
198,An idle mind is the devil’s workshop,El ocio es la madre de todos los vicios, , ,An idle mind is the devil's workshop
199,An ounce of prevention is worth a pound of cure,Es mejor precaver que tener que remediar, , ,An ounce of prevention is worth a pound of cure
200,An ounce of prevention is worth a pound of cure,Más vale prevenir que tener que lamentar, , ,An ounce of prevention is worth a pound of cure
201,Appearances can be deceiving,Todo lo prieto no es morcilla, , ,Appearances can be deceiving
202,As happy as a clam,Más contento que perro con dos rabos, , ,As happy as a clam
203,As old as the hills,Más viejo que el frío, , ,As old as the hills
204,As old as the hills,Más viejo que Matusalen, , ,As old as the hills
205,As stubborn as a mule,Es más terco que una mula, , ,As stubborn as a mule
206,As sure as death and taxes,La muerte es lo único seguro que tenemos en la vida, , ,As sure as death and taxes
207,As ugly as sin,Es más feo que un caso de drogas, , ,As ugly as without
208,As white as snow,Más jincho que nalga de monja, , ,As white as snow
209,As white as snow,Más jincho que un sobaco de monja, , ,As white as snow
210,Be happy with what you’ve got,Más vale tierra en cuerpo que cuerpo en tierra, , ,Be happy with what you've got
211,"Bend over, here it comes again (BOHICA)",Chúpate esa en lo que te mondan la otra, , ,"Bend over, here it comes again (BOHICA)"
212,Better late than never,Más vale tarde que nunca, , ,Better late than ever
213,Better the devil you know than the devil you don’t know,Es mejor malo conocido que bueno por conocer, , ,Better the devil you know than the devil you don't know
214,Between a rock and a hard place,Estar entre la espada y la pared, , ,Between a rock and a hard place
215,"Bitch, bitch, bitch",Como quiera que te pongas siempre tienes que llorar, , ,"Bitch, bitch, bitch"
216,Bite off more than you can chew,Quedarse sin el plato y la comida, , ,Bite off more than you can chew
217,Bite off more than you can chew,Quedarse sin la soga y sin la cabra, , ,Bite off more than you can chew
218,Bites the hand that feeds him,Cría cuervos y te sacarán los ojos, , ,Bites the hand that feeds him
219,Black as coal,Prieto color teléfono, , ,Black as coal
220,Born with a silver spoon in one’s mouth,Nacer en cuna de oro, , ,Born with a silver spoon in one's mouth
221,Brains over brawn,A cada guaraguao le llega su pitirre, , ,Brains over brawn
222,Brains over brawn,Más vale maña que fuerza, , ,Brains over brawn
223,Business before pleasure,El deber antes que el placer, , ,Business before pleasure
224,Business is business,"Compay, compay, pero la gallina vale dos reales", , ,Business is business
225,Butt-ugly,Más feo que una patada en la cara, , ,Butt-ugly
226,Call a spade a spade,"Al pan, pan y al vino, vino", , ,Call a spade a spade
227,Caught red-handed,Pillar con las manos en la masa, , ,Caught red-handed
228,Caught with a hand in the cookie jar,Pillar con las manos en la masa, , ,Caught with a hand in the cookie jar
229,Charity begins at home,La caridad empieza por casa, , ,Charity begins at home
230,Children and fools tell the truth,Los niños y los borrachos siempre dicen la verdad, , ,Children and fools tell the truth
231,Clothes don’t make the man,El hábito no hace al monje pero lo distingue, , ,Clothes don't make the man
232,Clueless,Estar más perdido que un juey bizco, , ,Clueless
233,Clueless,Lo coge todo por el rabo, , ,Clueless
234,Curiosity killed the cat,La curiosidad mató al gato, , ,Curiosity killed the cat
235,Cut to the chase,"Al pan, pan y al vino, vino", , ,Cut to the chase
236,Different strokes for different folks,Cada cual a lo suyo, , ,Different strokes for different folks
237,Different strokes for different folks,Cada loco con su tema, , ,Different strokes for different folks
238,Different strokes for different folks,"Para los gustos, los colores", , ,Different strokes for different folks
239,Different strokes for different folks,Sobre los gustos no hay nada escrito, , ,Different strokes for different folks
240,Different strokes for different folks,Zapatero a sus zapatos, , ,Different strokes for different folks
241,Do not put words in his mouth,No hables por boca ajena, , ,Don't put words in your mouth
242,Do unto others as you would have them do unto you,No hagas hoy lo que no quieres que te hagan a ti mañana, , ,Do unto others as you would have them do unto you
243,Does a bear shit in the woods?,¿A quién le amarga un dulce?, , ,Does a bear shit in the woods?
244,Does not practice what he preaches,Predicar la moral en calzoncillos, , ,Does not practice what he preaches
245,"Don’t wish too hard, you might just get it",Está buscando lo que no se le ha perdido, , ,"Don't wish too hard, you might just get it"
246,Don’t add fuel to the fire,No eches más leña al fuego, , ,Don't add fuel to the fire
247,Don’t count your chickens before they’re hatched,No cantes victoria antes de tiempo, , ,Don't count your chickens before they're hatched
248,Don’t cross the bridge until you come to it,No cruces el puente antes de llegar a él, , ,Don't cross the bridge until you come to it
249,Don’t kill the goose that lays the golden egg,No mates la gallina de los huevos de oro, , ,Don't kill the goose that lays the golden egg
250,Don’t leave for tomorrow what you can do today,No dejes para mañana lo que puedas hacer hoy, , ,Don't leave for tomorrow what you can do today
251,Don’t look a gift horse in the mouth,A caballo regalado no se le mira el colmillo, , ,Don't look a gift horse in the mouth
252,Don’t stick your nose where it does not belong,Agua que no has de beber déjala correr, , ,Don't stick your nose where it does not belong
253,Dressed to the nines,Estar más combinado que un cuadro del hipodromo, , ,Dressed to the nines
254,Dressed to the nines,Genio y figura hasta la sepultura, , ,Dressed to the nines
255,Dressed to the nines,Vestirse de ‘Clubman’, , ,Dressed to the nines
256,Drunk as a skunk,Más ahumado que un trapo de una plancha, , ,Drunk as a skunk
257,Drunk out of his mind,Más ahumado que un trapo de una plancha, , ,Drunk out of his mind
258,"Eat to live, not live to eat","Se come para vivir, no se vive para comer", , ,"Eat to live, not live to eat"
259,Enough is enough,"Para al carajo albañil, que se acabó la mezcla", , ,Enough is enough
260,Everyone makes mistakes,Al mejor cazador se le va la liebre, , ,Everyone makes mistakes
261,Everything eventually comes to light,"A la larga, todo se sabe", , ,Everything eventually comes to light
262,Faith will move mountains,La fe mueve montañas, , ,Faith will move mountains
263,Fight against all odds,Ir contra viento y marea, , ,Fight against all odds
264,Fight tooth and nail,Defenderse más que un gato boca arriba, , ,Fight tooth and nail
265,Fine words butter no parsnips,"El que mucho promete, poco cumple", , ,Fine words butter no parsnips
266,Flat broke,Más pelado que un chucho, , ,Flat broke
267,Friends in high places,El que tiene padrino se bautiza, , ,Friends in high places
268,Genius is ten percent inspiration and ninety percent perspiration,Más hace el que quiere que el que puede, , ,Genius is ten percent inspiration and ninety percent perspiration
269,Get it over with quickly,Camino malo se anda ligero, , ,Get it over quickly
270,Get to the point,"Al pan, pan y al vino, vino", , ,Get to the point
271,Get up on the wrong side of the bed,Levantarse de la cama con el pie izquierdo, , ,Get up on the wrong side of the bed
272,Give a little to get a little,Hay que dar del ala para comer de la pechuga, , ,Give a little to get a little
273,Give credit where credit is due,"Honor, a quien honor merece", , ,Give credit where credit is due
274,Give him a taste of his own medicine,"Ladrón que roba a ladrón, merece el perdón", , ,Give him a taste of his own medicine
275,Give someone an inch and he will take a mile,Se les da una uña y cogen hasta el codo, , ,Give someone an inch and he will take a mile
276,Give someone an inch and he will take a mile,Te doy pon y quieres guiar, , ,Give someone an inch and he will take a mile
277,Give someone an inch and he will take a mile,Te doy un dedo y me quieres coger el brazo, , ,Give someone an inch and he will take a mile
278,Go like a bat out of hell,Ir como alma que lleva el diablo, , ,Go like a bat out of hell
279,God giveth and god taketh away,Dios da y quita, , ,God giveth and god taketh away
280,God helps those that help themselves,Dios dice ayúdate que yo te ayudaré, , ,God helps those that help themselves
281,God helps those that help themselves,Ayúdate que Dios te ayudará, , ,God helps those that help themselves
282,God works in mysterious ways,Dios sabe lo que hace, , ,God works in mysterious ways
283,God’s gift to women,Creerse la última Coca Cola del desierto, , ,God's gift to women
284,Good luck!,Dios quiera que tu guarapo siempre tenga hielo, , ,Good luck!
285,Good things are around the corner,No hay mal que por bien no venga, , ,Good things are around the corner
286,Good things come in small packages,El perfume bueno siempre viene en potes pequeños, , ,Good things come in small packages
287,Good things come in small packages,Perfume bueno viene en frasco pequeño, , ,Good things come in small packages
288,Good things come to those who wait,A su tiempo maduran las uvas, , ,Good things come to those who wait
289,Good things come to those who wait,Calma piojo que el peine llega, , ,Good things come to those who wait
290,Good things come to those who wait,Lo mejor que hizo Dios fue un día detrás del otro, , ,Good things come to those who wait
291,Guilt by association,"Admisión de delito, relevo de prueba", , ,Guilt by association
292,Happens to the best of them,Pasa hasta en las mejores familias, , ,Happens to the best of them
293,Happy as a lark,Más contento que perro con dos rabos, , ,Happy as a lark
294,Have your cake and eat it too,"Es como el perro del hortelano, que ni come ni deja comer", , ,Have your cake and eat it too
295,He gives twice who gives quickly,"El que da primero, da dos veces", , ,He gives twice who gives quickly
296,He is a leech,Está hecho una ladilla, , ,He is a leech
297,He who excuses himself accuses himself,Te estás curando en salud, , ,He who excuses himself accuses himself
298,He who laughs last laughs best,"El que ríe último, ríe mejor", , ,He who laughs last laughs best
299,He who lives by the sword dies by the sword,"El que a hierro mata, a hierro muere", , ,He who lives by the sword dies by the sword
300,He’ll get his,A cada lechón le llega su San Martín, , ,He'll get his
301,He’ll get his,A cada puerco le llega su sábado, , ,He'll get his
302,He’ll get what he deserves,A cada lechón le llega su San Martín, , ,He'll get what he deserves
303,He’ll get what he deserves,A cada puerco le llega su sábado, , ,He'll get what he deserves
304,He’ll get what’s coming to him,A cada lechón le llega su San Martín, , ,He'll get what's coming to him
305,He’ll get what’s coming to him,A cada puerco le llega su sábado, , ,He'll get what's coming to him
306,"Here today, gone tomorrow","Hoy vivo, mañana muerto", , ,"Here today, gone tomorrow"
307,His bark is worse than his bite,Perro que ladra no muerde, , ,His bark is worse than his bite
308,His time will come,A cada lechón le llega su San Martín, , ,His time will come
309,His time will come,A cada puerco le llega su sábado, , ,His time will come
310,His time will come,A cada santo su vela, , ,His time will come
311,Hit the nail on the head,Hablaste por boca de santo, , ,Hit the nail on the head
312,Hit the nail on the head,Le puso el dedo en la llaga, , ,Hit the nail on the head
313,Hopping mad,Como un ciempiés meado, , ,hopping mad
314,I couldn’t care less,Allá Marta con sus pollos, , ,I couldn't care less
315,I couldn’t give a hoot,A mi plin y a la madama dulce de coco, , ,I couldn't give a hoot
316,I couldn’t give a rat’s ass,A mi plin y a la madama dulce de coco, , ,I couldn't give a rat's ass
317,I don’t give a shit,A mi plin y a la madama dulce de coco, , ,I don't give a shit
318,I get where you’re coming from,"Cuando tú vas, yo vuelvo", , ,I get where you're coming from
319,I hear you,"Cuando tú vas, yo vuelvo", , ,I hear you
320,Idle hands are the devil’s tools,El ocio es la madre de todos los vicios, , ,Idle hands are the devil's tools
321,"If it’s not one thing, it’s another","Si no es Juan, es Pedro", , ,"If it's not one thing, it's another"
322,"If the mountain will not come to Mohammed, Mohammed must go to the mountain","Si la montaña no viene a Mahoma, Mahoma va a la montaña", , ,"If the mountain will not come to Mohammed, Mohammed must go to the mountain"
323,"If the shoe fits, wear it",Al que le caiga el sello [sayo] que se lo ponga, , ,"If the shoe fits, wear it"
324,"If you can’t beat’em, join’em","Si no puedes contra el enemigo, únete a él", , ,"If you can't beat'em, join'em"
325,If you play with fire you get burned,El que juega con fuego se quema, , ,If you play with fire you get burned
326,If you run after two hares you will catch neither,El que asa dos conejos a la vez uno siempre se le quema, , ,If you run after two hares you will catch neither
327,Ignorance is bliss,"Ojos que no ven, corazón que no siente", , ,Ignorance is bliss
328,"In the country of the blind, the one-eyed man is king","En el país de los ciegos, el tuerto es rey", , ,"In the country of the blind, the one-eyed man is king"
329,In union there is strength,En la unión está la fuerza, , ,In union there is strength
330,In what world does he live in?,¿En qué mundo vive?, , ,In what world does he live in?
331,It all depends on your point of view,Todo depende del color del cristal con que se mire, , ,It all depends on your point of view
