Idiom,Meaning
To make a long story short,Para hacerte el cuento corto
To make a mountain out of a molehill,Ahogarse en un vaso de agua
To make something good from nothing,Hay que hacer de tripas corazones
To mix like oil and water,Ser como el aceite y el vinagre
To not defend oneself,No da un tajo ni en defensa propia
To not have anything to hide,El que no tiene hechas no tiene sospechas
To reach one’s limit,El que nace para chavito prieto nunca llega a vellón
To roll right off of,Se le pasea el alma por el cuerpo
To screw up,Meter la pata
To slide off of,Se le pasea el alma por el cuerpo
To sound like a broken record,Eso es como llover sobre mojado
To think he’s the bomb,Creerse la última Coca Cola del desierto
To wipe out,Caerse como una guanábana
Tomorrow is another day,Mañana será otro día
Too many chiefs and not enough indians,Muchos caciques y pocos indios
Too many cooks spoil the broth,Muchos cocineros dañan la comida
Too much of a good thing,Todo en exceso hace daño
Too much of a good thing,"Lo poquito agrada, lo mucho enfada"
Two heads are better than one,Cuatro ojos ven más que dos
Two heads are better than one,Dos cabezas piensan mejor que una
Two wrongs don’t make a right.,Dos males no hacen un bien
"United we stand, divided we fall",En la unión está la fuerza
Walls have ears,Las paredes tienen oídos y los montes ojos
Water under the bridge,Agua pasada no mueve molino
Well begun is half done,Quien bien empieza bien acaba
What comes around goes around,Estar probando su propia medicina
What comes around goes around,"Hijo eres, padre serás, según lo hiciste, así lo verás"
What comes around goes around,"Ladrón que roba a ladrón, merece el perdón"
What goes up must come down,Todo lo que sube tiene que bajar
"What the eye doesn’t see, the heart doesn’t grieve over","Ojos que no ven, corazón que no siente"
"When in Rome, do as the Romans",A la tierra que fueres haz lo que vieres
"When in Rome, do as the Romans",¿Dónde va Vicente? Donde va la gente
"When it rains, it pours","Al perro flaco, todas las pulgas le caen"
"When it rains, it pours","Cuando uno está de malas, hasta la mujer se la pega!"
"When it rains, it pours",Del árbol caído todos hacen leña
"When one door closes, another one opens","Cuando una puerta se cierra, cientas se abren"
When pigs fly,Esto será cuando la rana eche pelo
"When poverty comes in at the door, love flies out of the window","Cuando la pobreza entra por la puerta, el amor sale por la ventana"
"Where there’s smoke, there’s fire","Cuando el río suena, agua lleva"
"Where there’s smoke, there’s fire",Cuando el río suena es porque algo trae
"Where there’s smoke, there’s fire",Si el rio suena es porque agua trae
"While there’s life, there’s hope",Mientras haya vida hay esperanza
Wipe the slate clean,Aquí paz y en el cielo gloria
Wipe the slate clean,Borrón y cuenta nueva
With friends like that who needs enemies?,Con amigos así no hacen falta enemigos
With his tail between his legs,Volvió con el rabo entre medio de las patas
Won’t harm a fly,No mata ni una mosca
Worth its weight in gold,Vale más de lo que pesa en oro
A bird in the hand is worth two in the bush,Más vale pájaro en mano que cien volando
A bird in the hand is worth two in the bush,Más vale un hoy que dos mañanas
A chain is only as strong as its weakest link,La soga rompe por lo más delgado
A chip off the old block,"De tal palo, tal astilla"
A chip off the old block,Quien lo hereda no lo hurta
A friend in need is a friend indeed,Amigo en la adversidad es un amigo de verdad
A journey of a thousand miles begins with one step,Barco que no anda no llega a puerto
A lot of hot air,De ese infierno no salen chispas
A man is known by the company he keeps,Dime con quien andas y te diré quién eres
A perfect match,Me viene como anillo al dedo
"A prophet is not without honor, save in his own country",Nadie es profeta en su tierra [pueblo]
A taste of his own medicine,Estar probando su propia medicina
A tiger doesn’t change its stripes,La yerba mala nunca se muere
According to the latest gossip,"Dicen las malas lenguas, y la mía que no es muy buena también lo repita"
Actions speak louder than words,El movimiento se demuestra andando
Actions speak louder than words,La ley entra por la casa
Actions speak louder than words,No es lo mismo decirlo que hacerlo
After a storm comes a calm,"Después de la tormenta, siempre llega la calma"
"After marriage, life goes downhill","En vida de matrimonio, ni soso ni salado"
All bark and no bite,Mucho ruido y pocas nueces
All cats are grey in the dark,De noche todos los gatos son prietos
All good things must end,Lo bueno dura poco
All over the place,"Esta como el arroz blanco, en todas las partes"
All that glitters is not gold,No todo lo que brilla es oro
Always lands on his feet,"El que nace para bombero, del cielo le cae el sombrero"
Always lands on his feet,El que nace para toro del cielo le caen los cuernos
Always room for one more,"Donde comen dos, comen tres"
An eye for an eye,"Ojo por ojo, diente por diente"
An idle mind is the devil’s workshop,El ocio es la madre de todos los vicios
An ounce of prevention is worth a pound of cure,Es mejor precaver que tener que remediar
An ounce of prevention is worth a pound of cure,Más vale prevenir que tener que lamentar
Appearances can be deceiving,Todo lo prieto no es morcilla
As happy as a clam,Más contento que perro con dos rabos
As old as the hills,Más viejo que el frío
As old as the hills,Más viejo que Matusalen
As stubborn as a mule,Es más terco que una mula
As sure as death and taxes,La muerte es lo único seguro que tenemos en la vida
As ugly as sin,Es más feo que un caso de drogas
As white as snow,Más jincho que nalga de monja
As white as snow,Más jincho que un sobaco de monja
Be happy with what you’ve got,Más vale tierra en cuerpo que cuerpo en tierra
"Bend over, here it comes again (BOHICA)",Chúpate esa en lo que te mondan la otra
Better late than never,Más vale tarde que nunca
Better the devil you know than the devil you don’t know,Es mejor malo conocido que bueno por conocer
Between a rock and a hard place,Estar entre la espada y la pared
"Bitch, bitch, bitch",Como quiera que te pongas siempre tienes que llorar
Bite off more than you can chew,Quedarse sin el plato y la comida
Bite off more than you can chew,Quedarse sin la soga y sin la cabra
Bites the hand that feeds him,Cría cuervos y te sacarán los ojos
Black as coal,Prieto color teléfono
Born with a silver spoon in one’s mouth,Nacer en cuna de oro
Brains over brawn,A cada guaraguao le llega su pitirre
Brains over brawn,Más vale maña que fuerza
Business before pleasure,El deber antes que el placer
Business is business,"Compay, compay, pero la gallina vale dos reales"
Butt-ugly,Más feo que una patada en la cara
Call a spade a spade,"Al pan, pan y al vino, vino"
Caught red-handed,Pillar con las manos en la masa
Caught with a hand in the cookie jar,Pillar con las manos en la masa
Charity begins at home,La caridad empieza por casa
Children and fools tell the truth,Los niños y los borrachos siempre dicen la verdad
Clothes don’t make the man,El hábito no hace al monje pero lo distingue
Clueless,Estar más perdido que un juey bizco
Clueless,Lo coge todo por el rabo
Curiosity killed the cat,La curiosidad mató al gato
Cut to the chase,"Al pan, pan y al vino, vino"
Different strokes for different folks,Cada cual a lo suyo
Different strokes for different folks,Cada loco con su tema
Different strokes for different folks,"Para los gustos, los colores"
Different strokes for different folks,Sobre los gustos no hay nada escrito
Different strokes for different folks,Zapatero a sus zapatos
Do not put words in his mouth,No hables por boca ajena
Do unto others as you would have them do unto you,No hagas hoy lo que no quieres que te hagan a ti mañana
Does a bear shit in the woods?,¿A quién le amarga un dulce?
Does not practice what he preaches,Predicar la moral en calzoncillos
"Don’t wish too hard, you might just get it",Está buscando lo que no se le ha perdido
Don’t add fuel to the fire,No eches más leña al fuego
Don’t count your chickens before they’re hatched,No cantes victoria antes de tiempo
Don’t cross the bridge until you come to it,No cruces el puente antes de llegar a él
Don’t kill the goose that lays the golden egg,No mates la gallina de los huevos de oro
Don’t leave for tomorrow what you can do today,No dejes para mañana lo que puedas hacer hoy
Don’t look a gift horse in the mouth,A caballo regalado no se le mira el colmillo
Don’t stick your nose where it does not belong,Agua que no has de beber déjala correr
Dressed to the nines,Estar más combinado que un cuadro del hipodromo
Dressed to the nines,Genio y figura hasta la sepultura
Dressed to the nines,Vestirse de ‘Clubman’
Drunk as a skunk,Más ahumado que un trapo de una plancha
Drunk out of his mind,Más ahumado que un trapo de una plancha
"Eat to live, not live to eat","Se come para vivir, no se vive para comer"
Enough is enough,"Para al carajo albañil, que se acabó la mezcla"
Everyone makes mistakes,Al mejor cazador se le va la liebre
Everything eventually comes to light,"A la larga, todo se sabe"
Faith will move mountains,La fe mueve montañas
Fight against all odds,Ir contra viento y marea
Fight tooth and nail,Defenderse más que un gato boca arriba
Fine words butter no parsnips,"El que mucho promete, poco cumple"
Flat broke,Más pelado que un chucho
Friends in high places,El que tiene padrino se bautiza
Genius is ten percent inspiration and ninety percent perspiration,Más hace el que quiere que el que puede
Get it over with quickly,Camino malo se anda ligero
Get to the point,"Al pan, pan y al vino, vino"
Get up on the wrong side of the bed,Levantarse de la cama con el pie izquierdo
Give a little to get a little,Hay que dar del ala para comer de la pechuga
Give credit where credit is due,"Honor, a quien honor merece"
Give him a taste of his own medicine,"Ladrón que roba a ladrón, merece el perdón"
Give someone an inch and he will take a mile,Se les da una uña y cogen hasta el codo
Give someone an inch and he will take a mile,Te doy pon y quieres guiar
Give someone an inch and he will take a mile,Te doy un dedo y me quieres coger el brazo
Go like a bat out of hell,Ir como alma que lleva el diablo
God giveth and god taketh away,Dios da y quita
God helps those that help themselves,Dios dice ayúdate que yo te ayudaré
God helps those that help themselves,Ayúdate que Dios te ayudará
God works in mysterious ways,Dios sabe lo que hace
God’s gift to women,Creerse la última Coca Cola del desierto
Good luck!,Dios quiera que tu guarapo siempre tenga hielo
Good things are around the corner,No hay mal que por bien no venga
Good things come in small packages,El perfume bueno siempre viene en potes pequeños
Good things come in small packages,Perfume bueno viene en frasco pequeño
Good things come to those who wait,A su tiempo maduran las uvas
Good things come to those who wait,Calma piojo que el peine llega
Good things come to those who wait,Lo mejor que hizo Dios fue un día detrás del otro
Guilt by association,"Admisión de delito, relevo de prueba"
Happens to the best of them,Pasa hasta en las mejores familias
Happy as a lark,Más contento que perro con dos rabos
Have your cake and eat it too,"Es como el perro del hortelano, que ni come ni deja comer"
He gives twice who gives quickly,"El que da primero, da dos veces"
He is a leech,Está hecho una ladilla
He who excuses himself accuses himself,Te estás curando en salud
He who laughs last laughs best,"El que ríe último, ríe mejor"
He who lives by the sword dies by the sword,"El que a hierro mata, a hierro muere"
He’ll get his,A cada lechón le llega su San Martín
He’ll get his,A cada puerco le llega su sábado
He’ll get what he deserves,A cada lechón le llega su San Martín
He’ll get what he deserves,A cada puerco le llega su sábado
He’ll get what’s coming to him,A cada lechón le llega su San Martín
He’ll get what’s coming to him,A cada puerco le llega su sábado
"Here today, gone tomorrow","Hoy vivo, mañana muerto"
His bark is worse than his bite,Perro que ladra no muerde
His time will come,A cada lechón le llega su San Martín
His time will come,A cada puerco le llega su sábado
His time will come,A cada santo su vela
Hit the nail on the head,Hablaste por boca de santo
Hit the nail on the head,Le puso el dedo en la llaga
Hopping mad,Como un ciempiés meado
I couldn’t care less,Allá Marta con sus pollos
I couldn’t give a hoot,A mi plin y a la madama dulce de coco
I couldn’t give a rat’s ass,A mi plin y a la madama dulce de coco
I don’t give a shit,A mi plin y a la madama dulce de coco
I get where you’re coming from,"Cuando tú vas, yo vuelvo"
I hear you,"Cuando tú vas, yo vuelvo"
Idle hands are the devil’s tools,El ocio es la madre de todos los vicios
"If it’s not one thing, it’s another","Si no es Juan, es Pedro"
"If the mountain will not come to Mohammed, Mohammed must go to the mountain","Si la montaña no viene a Mahoma, Mahoma va a la montaña"
"If the shoe fits, wear it",Al que le caiga el sello [sayo] que se lo ponga
"If you can’t beat’em, join’em","Si no puedes contra el enemigo, únete a él"
If you play with fire you get burned,El que juega con fuego se quema
If you run after two hares you will catch neither,El que asa dos conejos a la vez uno siempre se le quema
Ignorance is bliss,"Ojos que no ven, corazón que no siente"
"In the country of the blind, the one-eyed man is king","En el país de los ciegos, el tuerto es rey"
In union there is strength,En la unión está la fuerza
In what world does he live in?,¿En qué mundo vive?
It all depends on your point of view,Todo depende del color del cristal con que se mire
It can happen to the best of us,A cualquiera se le muere un tío
It can happen to the best of us,Al mejor cazador se le va la liebre
It goes in one ear and out the other,"A palabras necias, oídos sordos"
It happens to the best of them,A cualquiera se le muere un tío
It happens to the best of them,Al mejor cazador se le va la liebre
It is better to give than to receive,Es mejor dar que recibir
It is better to give than to receive,Hay que dar para recibir
It takes all kinds,Hay de todo en la viña del Señor
It takes money to make money,El dinero llama al dinero
I’ve heard that story before,A otro perro con ese hueso
Just what I needed,Me viene como anillo al dedo
Keep his word,Lo prometido es deuda
Keep on top of things,No te duermas en las pajas
Keep your shop and your shop will keep you,"El que tiene tienda que la atienda, o si no que la venda"
Kill two birds with one stone,Matar dos pájaros de un tiro
Lead by example,La ley entra por la casa
Leave the best for last,El mejor plato se deja para lo último
Left at the altar,Se quedó vestida y “alboratá”
Left out to dry,Se quedó vestida y “alboratá”
Let bygones be bygones,Borrón y cuenta nueva
Like a cat with nine lives,Tener más vidas que un gato
"Like father, like son","De tal padre, tal hijo"
"Like father, like son","De tal palo, tal astilla"
"Like father, like son","Hijo de gato, caza ratón"
Like two peas in a pod,Tal para cual
Look with your eyes not your hands,Tocan con los ojos y miran con las manos
Looking for a needle in a haystack,Es como buscar una aguja en un pajar
Love is blind,El amor lo perdona todo
Mad as a hatter,Como un ciempiés meado
Made for each other,Dios los cría y el Diablo los junta
Made for each other,Tal para cual
Make a mountain out of a mole hill,Formar una tormenta en un vaso de agua
Make a mountain out of a mole hill,Hacen de un grano de arena una montaña
Make do with what you’ve got,"A falta de pan, galleta"
Make do with what you’ve got,Hay que arar con los bueyes que se tenga
Make the best of a bad situation,"Si del cielo te caen limones, aprende a hacer limonada"
Make up your mind,O te peinas o te haces rolos
"Man proposes, God disposes",Uno propone y Dios dispone
Meet your match,Encontrarse con la horma de su zapato
Might as well get it over with,Para lo que falta que venga el resto
Mix apples and oranges,Le dieron gato por liebre
Mix apples and oranges,No es lo mismo ni se escribe igual
Moderation in all things,Todo en exceso hace daño
Money can’t buy you love,El amor no se compra con dinero
Necessity is the mother of invention,La necesidad es la madre de la invención
Never ask pardon before you are accused,Te estás curando en salud
Never say never,Nunca digas “de esa agua no beberé”
New broom sweeps clean,Escoba nueva barre bien
No big deal,"Olvídate, más se perdió en la guerra"
No one can take it away from you,No te lo despinta nadie
"No pain, no gain","El que quiere azul celeste, que le cueste"
"No pain, no gain",Para nadar hay que tirarse al agua
"No pain, no gain",Quien no se arriesga no lo logra
Not as easy as it looks,La luna no es de queso ni se come con melao
Not be a fan of,Ese no es santo de mi devoción
Not in a million years,Esto será cuando la rana eche pelo
Nothing in life is free,Nadie da nada a cambio de nada
Nothing lasts forever,La agonía es larga pero la muerte es segura
Nothing to write home about,No es nada del otro mundo
Nothing will come of it,De ese infierno no salen chispas
Nothing’s for free,No hay rosas sin espinas
On the tip of the tongue,Tener algo en la punta de la lengua
One swallow does not a summer make,Una sola golondrina no hace verano
Opened up a can of worms,Meterse en camisa de once varas
Out of sight out of mind,La ausencia causa olvido
Out of sight out of mind,"Ojos que no ven, corazón que no siente"
Out of touch with reality,El que vive de ilusiones muere de desengaños
Overstay your welcome,"El muerto, después de tres días, apesta"
Overstay your welcome,El muerto y el agregado a los tres días hieden
Own up to one’s mistakes,A lo hecho pecho
Pass the buck,"Desde que se inventaron las excusas, nadie quiere ser culpable"
Patience is a virtue,Vísteme despacio que voy de prisa
People who live in glass houses shouldn’t throw stones,No ensucies el agua para después tomártela
People who live in glass houses shouldn’t throw stones,No tire piedras si tiene techo de cristal
Practice makes perfect,La práctica hace el maestro
Practice makes perfect,La práctica hace milagros
Practice what you preach,"Bien predica, quien bien vive"
Put someone in his place,Hay que leerle la cartilla
Right on the money,Hablaste por boca de santo
Rob Peter to pay Paul,Desvestir un santo para vestir a otro
Rome was not built in a day,Roma no se hizo en un día
Safety in numbers,En la unión está la fuerza
Scared out of his mind,Como vaca que va para risco
Scared shitless,Con ojos de vaca cagona
Seeing is believing,Hay que ver para creer
Seeing is believing,"Soy como Santo Tomás, ver para creer"
Sell a drowning man a glass of water,Venderle hasta una nevera a un esquimal
Sell ice to an Eskimo,Venderle hasta una nevera a un esquimal
Sell sand to the Arabs,Venderle hasta una nevera a un esquimal
She married him for his money,El amor y el interés se fueron al campo un día y más pudo el interés que el amor que te tenía
Short reckonings make long friends,Cuentas claras conservan amistades
Silence gives consent,El que calla otorga
Sleep on it,Hay que consultarlo con la almohada
Slower than molasses,Más lento que un suero de brea
Slower than molasses,Más lento que una caravana de cojos
"Someone is loaded (as in rich, not drunk)",Lo único que le falta es sarna para rascarse
Someone will get his,A cada puerco le llega su sábado
Something smells here,Huele a sicote
Speak of the devil,Hablando del rey de Roma y las narices que asoma
Start from scratch,Borrón y cuenta nueva
Step up to bat,¿Quién le pone el cascabel al gato?
Step up to the plate,¿Quién le pone el cascabel al gato?
Still waters run deep,"Oye, mira y calla"
Stretch your limits,Hay que estirar los pies hasta donde llegue la sábana
You better believe it,Lo dice y no lo sabe
You can catch more flies with honey than with vinegar,Amor con amor se paga
You cannot get a quart into a pint pot,Eso es como pedirle peras al olmo
You cannot get blood from a stone [turnip],Eso es como pedirle peras al olmo
You can’t judge a book by its cover,Las apariencias engañan
You can’t teach an old dog new tricks,"Moro viejo, mal cristiano"
You can’t teach an old dog new tricks,Perro viejo no aprende trucos nuevos
You do what you can,Se hace lo que se puede
You don’t know what you’ve got until it’s gone,Nadie sabe lo que tiene hasta que lo pierde
You get what you deserve,La ley de Dios no tiene trampa
You get what you pay for,Lo barato sale caro
You make your own destiny,"Las estrellas inclinan, pero no obligan"
You owe me one,"Hoy por ti, mañana por mi"
You pays your man and you takes your chances,Para nadar hay que tirarse al agua
You reap what you sow,"El que (bien) siembra, (bien) cosecha"
You reap what you sow,El que siembra espinas que no espere cosechar flores
You reap what you sow,"El que siembra vientos [tormentas], cosecha tempestades"
You’re damned if you do and you’re damned if you don’t,Palo si boga y palo si no boga
You’re full of it,No me vengas con ese cuento
"You’ve made your bed, now lie in it",Ahorcarse con su propia soga
