Text_Chunks,Translation_to_ENG
"Esto le da consuelo a propósito y mantiene viva la esperanza de que si realmente están destinados a estar juntos no va a poder encontrar pero en lugar dar pasivamente decide tomar acción y empezar a actuar, como dice el dicho. Adiós rezando y con la pala dando. Yo no encuentro nada en la librería, así que regresa a su casa por la noche.","This purposely gives him comfort and keeps the hope alive that if they are truly meant to be together he won't be able to find it but instead of passively giving he decides to take action and start acting, as the saying goes. Goodbye praying and giving the shovel. I can't find anything in the bookstore, so he returns home at night."
"Su prometida le pide que le diga algo romántico, pero justo cuando está por hacerlo, la alarma de humo los interrumpe. Para algunos, una simple coincidencia, para John, una señal más cuando su esposa se va. Jonathan encuentra la bolsa de regalos Roja en la que Sara le dio el guante hace muchos años y se sorprende aún más cuando se da cuenta de que dentro del guante están nada más y nada menos que el ticket de compra con el que se hará compró los guantes, lo que al fin le da un hilo del cual tirar.","His fiancée asks him to say something romantic, but just as he's about to do so, the smoke alarm interrupts them. For some, a simple coincidence, for John, one more sign when his wife leaves. Jonathan finds the Red gift bag in which Sara gave him the glove many years ago and is even more surprised when he realizes that inside the glove are nothing more and nothing less than the purchase receipt with which he will buy the gloves. gloves, which finally gives him a thread to pull on."
"Por su parte, las cosas en la vida de Sara tampoco están tan bien como aparentan. No se lo dije, pero su prometido es flautista en una banda alternativa y está muy inmerso en su trabajo, ya que tiene giras y conciertos constantemente. Cuando el show termina, la hermana de Sara y su novio saludan a la chica. Quiero que recuerdes bien que estas 2 se parecen bastante porque más adelante será importante.","For her part, things in Sara's life are not as good as they seem. I didn't tell him, but her fiancé is a flutist in an alternative band and is very immersed in her work, since he constantly has tours and concerts. When the show ends, Sara's sister and her boyfriend greet the girl. I want you to remember well that these 2 are quite similar because it will be important later."
"En eso El Manager interrumpe para decirle a Lars las nuevas fechas para las giras. Sara interrumpe para recordarles que se cruzan con la Luna de miel y ella tiene pacientes que atender, por lo que no puede posponer nada. Sin embargo, Lars no le da mucha importancia y pone por encima el trabajo sobre las necesidades de su prometida.","At that The Manager interrupts to tell Lars the new dates for the tours. Sara interrupts to remind them that they are on their honeymoon and she has patients to attend to, so she can't postpone anything. However, Lars does not give it much importance and puts work above the needs of his fiancée."
"Esto la llena de frustración, así que sale a fumar un cigarrillo bajo la fría lluvia, en donde ve un poster de la película favorita de Jonathan, el hartazgo de su relación, seguido de casualmente ver el póster de la película favorita de su amor de una noche reactiva en ella, algo que había olvidado hace mucho. Sara interpreta esto como una señal del universo, una que le dice que tal vez debería de buscar a John.","This fills her with frustration, so she goes out to smoke a cigarette in the cold rain, where she sees a poster of Jonathan's favorite movie, tired of their relationship, followed by casually seeing the poster of her love's favorite movie. a night reactive in her, something she had long forgotten. Sara interprets this as a sign from the universe, one that tells her that maybe she should look for John."
"De hecho, hasta empieza a ver más a detalle en los billetes de 5 USD, a ver si de casualidad es el que tiene la información de Jonathan, pero trata de reprimir esos sentimientos. Empezar a creer esto de nuevo está por hacerlo cometer una locura que puede que ponga en riesgo su matrimonio. ¿Realmente es el universo mandando señales o cómo pueden explicarse coincidencias tan improbables?","In fact, he even begins to look more closely at the $5 bills, to see if by chance he is the one with Jonathan's information, but he tries to repress those feelings. Starting to believe this again is about to make him do something crazy that may put her marriage at risk. Is it really the universe sending signals or how can such improbable coincidences be explained?"
"Muchas personas relatan haber experimentado alguna vez este tipo de experiencias tan improbables y a la vez tan significativas que nos hacen pensar que no fueron mera casualidad. Y sobre estos sucesos, Carol Jung elaboró una teoría bastante polémica que llamó sincronicidad, en la que explica que de la misma forma en la que podemos conectar eventos por causa y efecto, también podemos hacerlo por.","Many people report having once experienced this type of experience, so improbable and at the same time so significant that they make us think that they were not mere chance. And about these events, Carol Jung developed a quite controversial theory that she called synchronicity, in which she explains that in the same way that we can connect events by cause and effect, we can also do so by."
"Significado para jungla, sincronicidad. La encontramos cuando un evento en el mundo coincide significativamente con un pensamiento o sentimiento. Cuando piensas o sientes algo, y casi de manera instantánea notas algo que está conectado con todo esto, como cuando Sara se peleó con su pareja y enseguida vio el póster de Jonathan.","Meaning for jungle, synchronicity. We find it when an event in the world significantly coincides with a thought or feeling. When you think or feel something, and almost instantly you notice something that is connected to all of this, like when Sara got into a fight with her partner and immediately saw Jonathan's poster."
"U otro ejemplo podría ser cuando sueñas con alguien que lleves mucho tiempo sin ver y de repente, al día siguiente te lo encuentras porque sucede esto. Según Young. Bueno, él creía que la vida no es una serie de eventos aleatorios, sino una expresión de una especie de conciencia cósmica a la que llamó unos Mundus, esto es, que todo el universo está íntimamente conectado.","Or another example could be when you dream about someone you haven't seen for a long time and suddenly, the next day you meet them because this happens. According to Young. Well, he believed that life is not a series of random events, but an expression of a kind of cosmic consciousness that he called a Mundus, that is, that the entire universe is intimately connected."
"Jung sugería que la Sincronicidad tenía un propósito particular que era cambiar nuestro pensamiento consciente, dándome mensajes, guía o reafirmación. Junck no niega que las simples coincidencias ocurran, pero al mismo tiempo insiste en admitir que hay algunas coincidencias que están conectadas en significado y que son imposibles de explicar y por esto sugiere prestarles cuidados atención.","Jung suggested that Synchronicity had a particular purpose which was to change our conscious thinking, giving us messages, guidance or reassurance. Junck does not deny that simple coincidences occur, but at the same time he insists on admitting that there are some coincidences that are connected in meaning and that are impossible to explain and for this reason he suggests paying careful attention to them."
"No obstante, pueden argumentarse un sinfín de cosas en contra de esta teoría. Cabe mencionar que esta no tuvo mucho éxito y que no cuenta con ninguna evidencia científica que el apoyo. Pero bueno, más adelante abordaré otras posibles explicaciones a estos fenómenos. ¿Tú qué piensas? ¿Crees que hay conciencias que no son casualidad y que guardan un significado profundo?","However, a host of things can be argued against this theory. It is worth mentioning that this was not very successful and that it does not have any scientific evidence to support it. But well, later I will address other possible explanations for these phenomena. What do you think? Do you think there are consciousnesses that are not coincidence and that have a deep meaning?"
"Jonathan basta la tienda que vendió los guantes a preguntar por el nombre asociado a la cuenta. El vendedor le indica que si quiere que lo ayude él debe de comprarle 700 USD en productos. Jonathan piensa que esto es más una extorsión que una ayuda, pero aún así termina aceptando. Sin embargo después de pagar el vendedor le revela que nunca hubo información en el sistema.","Jonathan asks the store that sold the gloves for the name associated with the account. The seller tells him that if he wants him to help him, he must buy 700 USD worth of products. Jonathan thinks this is more extortion than help, but he still ends up accepting. However, after paying, the seller reveals that there was never any information in the system."
"Esto hace enfurecer a Johnny quien casi golpea al vendedor, pero consigue que lo ayude a ir a los registros del banco a buscarlo. Al mismo tiempo y ya algo harta del ensimismamiento de su esposo, Sara le dice que saldrá unos días de San Francisco. ¿Para qué? Bueno para tomar un vuelo a Nueva York con su mejor amiga. Y sí lo hace justamente por la razón que estás pensando para ir a buscar a Jonathan.","This angers Johnny who almost hits the salesman, but gets him to help him go to the bank records to look for it. At the same time, and already somewhat fed up with her husband's self-absorption, Sara tells him that she will be leaving San Francisco for a few days. So that? Good for taking a flight to New York with her best friend. And she does, she does it for exactly the reason you're thinking about going to find Jonathan."
"Jonathan, su mejor amigo y el vendedor logran encontrar un registro con una antigua dirección asociada a esa tarjeta así que a la mañana siguiente van hasta la oficina de registro en donde logran logran sacar el nombre de otro hombre el chico les dice que tal vez sea su compañero de cuarto con el que vivía en ese entonces así que Jonathan y su mejor amigo van a buscar este sujeto no obstante deben de darse prisa porque quedan tan sólo 2 días para la boda a la vez que todo esto sucede las 2 amigas llegan hasta Nueva York para empezar su misión.","Jonathan, his best friend and the salesman manage to find a record with an old address associated with that card, so the next morning they go to the registry office where they manage to get the name of another man. The boy tells them that maybe it is his roommate with whom he lived at that time so Jonathan and his best friend go to look for this guy however they must hurry because there are only 2 days left until the wedding at the same time that all this is happening the 2 friends arrive New York to begin his mission."
"Ambas suben al taxi, eligen un destino prácticamente al azar, el hotel waldorf, mismo en el que se celebrará la boda de Jonathan. Parece ser que el destino los está juntando un poco más. Por mera intuición empiezan a buscar por la calle sin un rumbo ni plan. Más que encontrar a Jonathan. Sus decisiones están enteramente basadas en Corazonadas.","They both get into the taxi, choose a destination practically at random, the Waldorf Hotel, the same one where Jonathan's wedding will be held. It seems that fate is bringing them together a little more. By mere intuition they begin to search the street without a direction or plan. More than finding Jonathan. His decisions are entirely based on Hunches."
"La miga compra una cartera, se atraviesa un perro dálmata, chocan con una botarga y Zara encuentra publicidad de un campo de golf. Ella siente que es una señal, así que van a buscar ahí estas señales. Bastante acertada, ya que es un lugar que Jonathan frecuenta mucho y tan sólo un día antes él estuvo ahí. De hecho dejó la goma de mascar pegada en una banca, misma que Sara toca por accidente.","The baby buys a purse, a Dalmatian dog crosses paths, they collide with a bottarga and Zara finds an advertisement for a golf course. She feels that it is a sign, so they go to look for these signs there. Quite accurate, since it is a place that Jonathan frequents a lot and just a day before he was there. In fact, he left the gum stuck on a bench, which Sara touches by accident."
"Una coincidencia demasiado grande es como si el destino tratara de conectarlos por diferentes medios, ya que hace unas horas sucedió algo similar, los 2 pares de amigos acariciaron al mismo perro ahora bordemos otras posibles explicaciones para estas coincidencias tan específicas, recordemos que Sara, no se la está pasando muy bien con su prometido si lo quiere pero, él vive para su trabajo y le importa más eso que cualquier cosa relacionado con, ella y esa dinámica posiblemente ya lleva mucho tiempo agotando la relación La pelea de Sara con su prometido que vimos anteriormente seguía de ver el póster de la película favorita de Jonathan.","A coincidence that is too big is as if fate were trying to connect them through different means, since a few hours ago something similar happened, the 2 pairs of friends petted the same dog. Now let's explore other possible explanations for these very specific coincidences, let's remember that Sara, not She is having a great time with her fiancé if she wants him, but he lives for his job and cares more about that than anything related to her and that dynamic has possibly been exhausting the relationship for a long time. Sara's fight with her fiancé who We saw previously followed by seeing the poster for Jonathan's favorite movie."
"Pudiera ser que sus deseos inconscientes y reprimidos encuentren una manera de salir a la luz y dejando a un lado la idea de que si es el destino, el universo lo que se lo está poniendo así. Lo importante que vemos es que Sara lo está interpretando como una señal de que debe buscar a Jonathan y tomarse un tiempo de su esposo, porque posiblemente es lo que lleva queriendo hacer desde hace mucho tiempo y lo mismo seguramente está pasando con Jonathan, pero en un momento vamos con él, pero bueno, como la sincronicidad ya está explicada y básicamente le da toda explicación al universo, eso me deja sin nada más que analizar, por lo que de ahora en adelante interpretaré la historia desde el ente que las acabo de explicar pero por más que busca y ve a hombres por la espalda no encuentra al que vio esa noche mágica, esta situación es que han estado pasando son un ejemplo de lo que te comenté anteriormente nosotros los espectadores de esta historia interpretamos estas coincidencias como señales del destino tratando de unir a estas almas porque nosotros también queremos que se encuentren parecen ser nuestros deseos los que están modificando la manera en interpretamos estas mismas cosas e ignoramos todas aquellas cosas que no van con esa narrativa.","It could be that your unconscious and repressed desires find a way to come to light and leave aside the idea that it is fate, the universe that is making you this way. The important thing we see is that Sara is interpreting it as a sign that she should look for Jonathan and take some time from her husband, because possibly it is what she has been wanting to do for a long time and the same thing is surely happening with Jonathan, but in Let's go with it for a moment, but well, since synchronicity is already explained and basically gives every explanation to the universe, that leaves me with nothing more to analyze, so from now on I will interpret the story from the entity that I just told them about. explain, but no matter how much she searches and sees men from behind, she does not find the one she saw that magical night. This situation is what has been happening. They are an example of what I told you before. We, the viewers of this story, interpret these coincidences as signs of the destiny trying to unite these souls because we also want them to meet, it seems to be our desires that are modifying the way we interpret these same things and ignore all those things that do not go with that narrative."
"Mientras las chicas hacen su búsqueda guiadas por el destino, los chicos de cabeza un poco más calculadora siguen las pistas minuciosamente, mismas que los llevan con el exurumi de Sara, un pintor francés. Este dice que fue hace mucho tiempo y no recuerdan bien su apellido, pero les dice que arriba de la cafetería ser indipia había una agencia de compañeros de cuarto, por lo que nuestros hombres van para allá.","While the girls do their search guided by destiny, the boys with a slightly more calculating head carefully follow the clues, which lead them to Sara's exurumi, a French painter. He says that he went a long time ago and they don't remember his last name, but he tells them that there was a roommate agency above the Ser Indipia cafeteria, so our men are going there."
"Las mujeres tienen algunos accidentes en el campo de golf, así que mejor se toman un descanso en la cafetería ser indipia o sea justo a donde se dirigen Jonathan y Dean. Parece que todas las piezas están acomodando para que estos 2 se encuentren. Sin embargo, justo antes de que el destino los una, Sara le confiesa a su mejor amiga que está cansada y ambas llegan a la conclusión de que creer en el destino fue una tontería, así que abortan la misión antes de irse.","The women have some accidents on the golf course, so they better take a break at the Ser Indipia cafeteria, which is right where Jonathan and Dean are heading. It seems like all the pieces are falling into place for these 2 to meet. However, just before fate brings them together, Sara confesses to her best friend that she is tired and they both come to the conclusion that believing in fate was foolish, so they abort the mission before leaving."
"La amiga de Sara guarda el cambio en su cartera pero al tomar el billete nos damos cuenta de que es el que tiene el número de John y no se da cuenta de esto pero parece que el universo les está dando una última oportunidad para que al fin se encuentre salen toman un taxi y cuando suben aparecen Jonathan y su amigo, pero no se percatan de nada.","Sara's friend keeps the change in her wallet but when she takes the bill we realize that it is the one with John's number and she does not realize this but it seems that the universe is giving them one last chance to finally When they find themselves, they leave, take a taxi and when they get in, Jonathan and his friend appear, but they don't notice anything."
"La Agencia que buscaban ahora es una tienda de vestidos de novia, la señal definitiva del universo que le indica a Jonathan que debería de estar camino a su boda con su prometida en lugar de estar siguiendo pistas. Es así como faltando un día para la boda, Jonathan asista los ensayos con su futuro esposa.","The Agency they were looking for now is a wedding dress store, the definitive sign from the universe that tells Jonathan that he should be on his way to his wedding with his fiancée instead of following leads. This is how, with one day left before the wedding, Jonathan attends the rehearsals with his future wife."
