Idiom,Meaning,Example
As right as rain,Something is perfect,"I don’t know about the others, but I feel that your decision is as right as rain."
To get bent out of shape,"To be upset, to take offence, to be angry",My cousins have been bent out of shape after my uncle passed away.
Every cloud has a silver lining,There is always some good in every thing that happens / Something good will happen after something bad,"Do not be worried about your current situation; after all, every cloud has a silver lining."
Play the devil’s advocate,To argue or fight over something just for the sake of it,We had no idea why he was playing the devil’s advocate when he knew what had happened.
Cross that bridge when we get to it,Deal with the problem when it happens,"I know there are decisions to be made about the selling of the house but we will cross that bridge when we get to it. As of now, let us focus on this."
Throw caution to the wind,To take a risk,Gaurav threw caution to the wind in trying to save me from the accident.
A penny for your thoughts,Used to ask someone what they are thinking,I would like to give a penny for your thoughts.
Bite off more than you can chew,To do more than you can,My mom thinks that my brother is biting off more than he can chew by taking up a night job and a day job.
Judging a book by its cover,Judge or form an opinion on someone based on appearances,People are known to always judge a book by its cover.
Rain on one’s parade,To spoil someone’s moment of praise / To spoil something,Rachel did not really think she was raining on Monica’s parade when she announced about her new job.
By the skin of your teeth,"By a very narrow margin, the slightest if chances",The doctors said that Manu had escaped serious injuries by the skin of his teeth.
Put all your eggs in one basket,Doing something risky,Rounak’s parents think that he is putting all his eggs in one basket.
Put something on ice,To hold off something,We decided to put the case on ice until we had some clue of what had happened.
Cannot have a cake and eat it too,Cannot have everything for yourself,It is not at all that you have the cake and eat it too.
