Idiom,Part_of_Speech,Meaning,Example
banana,n.,"Asian person  who adopts the lifestyle, attitudes, and such of White people", 
bandit,n.,hostile  aircraft, 
bang,n.,a thrill;  something exciting, 
bang,n.,the act of  sexual intercourse, 
bang,v.,to have sexual  intercourse, 
banger,n.,sausage.,Want some bangers with that?
barbie,n.,barbeque grill;  grill.,Let's fire up the barbie and grill some burgers.
barf,n.,vomit; vomitus.,"Damn, there's barf in the bathroom agai"
barf,v.,vomit, 
barfly,n.,person who  spends a lot of time at one bar drinking, 
barista,n.,espresso  bartender, 
barkeep,n.,bartender.,Barkeep! Two beers here.
bashing,n.,critiziing;  slandering; defaming (used after the object of the crticism in a combined  form).,Japan-bashing; China-bashing.
baster baby,n.,baby resulting  from artificial insemination, 
battle rattle,n.,"combat gear,  esp. Kevlar helmets and flak jackets", 
bazillion,n.,"a vast,  enormous, or indefinite amount.",I've got like a bazillion things to do.
bazongas,n.,breasts (on a  woman), 
bazoo,n.,mouth.,Shut  your bazoo right now.
B-ball,n.,baseball or  basketball.,How about some b-ball later?
BC,abbr.,birth control, 
BCD,abbr.,bad conduct  discharge, 
BCGs,abbr.,"birth  control glasses, i.e. military glasses that repel women because they are very  ugly", 
BCGs,n.,birth-control  glasses (so called because they were deemed so ugly that women would be scared  off), 
be a snap,v.,be easy; be  straight-forward; be simple.,"No problem, it's a snap."
be all over,v.,be done; be  finished; be completely finished.,t's all over now.
be all over  (something),v.,like  (something); be fascinated by; be obsessed by.,"He really likes her, he's all  over her."
be bummed about,v.,be depressed.,I'm so bummed that I ddin't get a raise.
be buzzed,v.,"be intoxicated,  tipsy, or under the influence (usually mild) of alcohol", 
be down with that,idiom.,agree; think similarly.,I'm down with that. You'll  get no argument from me.
be fucked,v.,find oneself in  a desparate or difficult situatio, 
be on the rag,v.,be  menstruating; be having one's period.,"She's on the rag, so sex was out of  th question."
be out of here,v.,be departing or  leaving right now; be thrown out of a game or party.,I'm out of here. No  point in staying.
be shitting bricks,v.,be extremely  frightened or nervous.,I was shitting bricks before the exam.
Beamer,n.,BMW automobile, 
bean,v.,his someone on  the head (often with a ball).,The batter got beaned by the pitcher.
bean,n.,the head, 
Bean Town,n.,Boston, 
bean-counter,n.,accountant;  statistician; someone who meticulously keeps track of numbers.,The bean  counters have decided we need to cut costs.
beans,n.,nonsense.,"Oh, beans."
beans,n.,nothing.,You  don't know beans about this
bearded clam,n.,female genitals, 
beast with two backs,n.,sexual  intercourse between two people, 
beat,adj.,"exhausted,  very tired; worn out.","I'm beat, it's been a long day."
beat (one's) meat,v.,masturbate (men  only), 
beat off,v.,waste time or  energy; do little or nothing, 
beat off,v.,masturbate (men  only), 
beat the shit out of  (someone),v.,physically  attack and abuse someone.,He beat the shit out of his brother when he found  out his brother broke his iPod.
beautiful,adj.,excellent;  very pleasing; great, 
beauty spot,n.,female genitals, 
beaver,n.,female genitals, 
bed-hop,v.,have sexual  relations with many people; sleep around, 
beef,n.,agrument;  disagreement.,I've got a beef with him about the rent.
beef,n.,objection;  problem.,What's your beef today?
beefcake,n.,a man with an  apppealing physique.,He's quite the beefcake.
beemer,n.,BMW automobile.,"Nice beamer, how'd you afford it?"
been around (the  block),v.,experienced  (often sexually).,She's been around the block and knows what she's doing in  bed.
beer,v.,drink beer.,Beer me.
beerbong,n.,"a can of beer,  usually large, set up to be drunk in one go", 
bells and whistles,n.,"appealing,  non-essential features", 
belly landing,n.,aircraft  landing without use of wheels, 
belly ride,n.,sexual  intercourse between two people, 
bellyaching,n.,"act of  complaining, griping, or criticizing something or somebody", 
bench,v.,"remove a player  from a game (usually basketball, football, or baseball).",He got benched  after four missed throws.
bench warmer,n.,"a player who  remains on the bench, usually due to lack of skill.",He was a bench warmer  and never played in a single game.
bent,adj.,angry; upset, 
bent,adj.,crooked;  dishonest.,Don't trust him. He's bent.
best bud,n.,a close friend, 
BFD,abbr.,"big fucking  deal (i.e.: it's not important, significant, or interesting at all)", 
bi,adj.,bisexual, 
bi,n.,bisexual perso, 
biatch,n.,"woman (from  ""bitch"")", 
Big Apple,n.,New York City, 
Big Blue,n.,International  Business Machines (IBM).,Big Blue got downgraded last week.
big cheese,n.,boss; powerful  person in an organizatio, 
big chicken dinner,n.,jocular for bad  conduct discharge, 
big gun,n.,a powerful or  important perso, 
big Kahuna,n.,leader; head of  a group; powerful person in an organizatio, 
big mouth,n.,a person who  speaks loudly or says too much (often revealing secrets).,She is such a big  mouth and can't keep anything to herself.
big stink,n.,a scandal; a  major issue.,Don't make a big stink out of such a small problem.
biggie,n.,someone or  something of significance or importance, 
biker,n.,a person who  rides motorcycles, 
bikini stuffers,n.,breasts (on a  woman), 
bimbo,n.,sexually loose  or promiscuous woman, 
bin,v.,dispose of;  throw out; throw away.,"Just bin it, I don't want it anymore."
bingo,n.,minimum amount  of fuel needed to safely return to base.,"Bingo fuel. We're heading back,  now."
bio,n.,biology (class  or subject in school).,Bio is all right because we get to dissect
bird,n.,"odd, eccentric  person (anachronistic)", 
bird,n.,woman; female, 
bird,n.,aircraft;  airplane, 
bird colonel,n.,"full colonel,  as opposed to a lieutenant colonel, which is one rank lower (in the U.S. Army)", 
bird-dog,v.,monitor someone, 
bird-dog,v.,steal another  man's girlfriend, 
birdseed,n.,a minute amount  of money.,I'm getting paid birdseed for all my hard work.
bit bucket,n.,imagined site  where lost computer data ends up, 
bitch,n.,a woma, 
bitch,n.,complaint;  gripe.,What's your bitch now?
bitch,n.,"frustrating,  annoying activity.",This job's a bitch.
bitch,v.,complain;  gripe.,"It's always bitch, bitch, bitch with you."
bitch,n.,"unpleasant,  rude, or irritating woma", 
bitch out,v.,complain; gripe, 
bitch session,n.,"casual meeting  during which people complain, gripe, or air grievances.",Today's meeting was  really just a bitch session.
bitch tits,n.,growth of  breasts on a man; gynecomastia (n.b.: usually caused by steroid abuse), 
bitchy,adj.,moody; rude;  spiteful (usually used to describe women).,She's really bitchy today.
bite,n.,snack; small  meal, 
black diamond,n.,first sergeant  (named for the black diamond in the rank insignia in the U.S. Army), 
black eye,n.,espresso with  brewed coffee mixed in, 
blade,n.,"knife, usually  a larger, shiny one", 
bleed like a stuck  pig,v.,bleed profusely, 
blimey,exclam.,wow; oh  (used to express surprise or excitement), 
bling,n.,"diamonds or  other equally shiny, glittering jewelry.",Nice bling. How much did it all  cost?
blissed (out),adj.,drunk from  alcohol or high on drugs, 
blissed (out),adj.,"emotionally  very pleased, happy, or content", 
blitz,n.,devastating  assault, 
blitz,v.,attack someone  or something successfully, 
blotto,adj.,very drunk;  highly intoxicated on alcohol, 
blow,n.,setback;  hurdle; attack;, 
blow (one's cool),v.,become angry or  upset.,He blew his cool when he saw his ex-girlfriend out with a new guy.
blow (one's top  (off)),v.,become angry or  upset, 
blow (someone) off,v.,ignore or  neglect someone; reject or abandon someone.,She's totalling blowing me off.
blow a fuse,v.,become angry or  upset.,He blew a fuse when he found out he lost his job.
blow a gasket,v.,become angry or  upset.,She blew a gasket when she heard her house was robbed.
blow it out your ear,v.,go away; no way  (expression of disbelief).,Blow it out your ear! No one cares.
blow job,n.,oral sex given  to a penis, 
blow off,v.,waste time.,I blew off the evening playing with my Wii.
blow smoke,v.,con; deceive;  swindle; cheat, 
blow smoke,v.,say something  so as to avoid telling the truth.,Stop blowing smoke and say something  useful.
blown away,adj.,very  impressed; overwhelmed; awed, 
BLT,abbr.,"bacon,  lettuce, and tomato sandwich", 
blue balls,n.,used to  describe the tenderness in the testicles after substantial sexual activity, 
blue plate special,n.,daily special  meal offered at a low price (usually in diners).,Would you like to hear  about our blue plate special?
blue steeler,n.,strong erection, 
boat,n.,very large car  (e.g.: Oldsmobile).,Those boats use too much gas.
boat,n.,very large  shoe.,Nice boats. You look like a clown.
bod,n.,body; physique  (especially an appealing one).,Look at that bod.
boff,v.,strike or punch  someone.,I got boffed on the head at the bar yesterday.
boff,v.,have sexual  intercourse with someone.,He boffed her last night again.
boff,v.,have sexual  relations with, 
boffo,n.,"a successful  movie, play, or other performance", 
bogon,n.,person who is  fake or says absurd things, 
bogosity,n.,something that  is bogus; quality of bogus-ness, 
bogus,adj.,fake; false.,No more bogus excuses. Just tell me the truth.
boink,v.,have sexual  intercourse with someone, 
boku,adj.,a lot; many  (from the French beaucoup), 
bolo,n.,solider who  fails rifle qualification, 
bolo,v.,fail a  qualification or test, 
bomb,n.,a terrible  performance or show.,That movie was a total bomb.
"bomb, the",n.,something  fantastic or wonderful.,Your party was the bomb.
bombed,adj.,very drunk;  highly intoxicated on alcohol.,He got bombed at the bar last night.
bone,n.,trombone (used  by musicians).,Play that bone for all your worth.
bone up,v.,study; learn  quickly or intensively.,Gotta bone up for the quiz next week.
bonehead,n.,"dumb, stubborn  perso", 
boneheaded,adj.,"dumb, stubbor", 
boner,n.,erection, 
bones,n.,dice.,Roll  'dem bones.
bones,n.,physician  (nickname made famous by Dr. McCoy in Star Trek), 
boneyard,n.,junkyard for  vehicles.,I found a fender for my car in the boneyard.
bong,n.,pipe used to  smoke marijuana, 
bonk,v.,to have sexual  intercourse, 
bonkers,adj.,crazy; nuts;  insane.,"Don't mind him, he's just plain bonkers."
boob,n.,woman's breast  (usually used in the plural).,Check out her boobs. They're enormous.
boo-boo,n.,error; mistake, 
boo-boo,n.,minor injury;  cut; bruise; scrape (usually said by and to small children).,Did you get a  boo-boo on the playground?
boody,n.,buttocks  (usually applies to a woman's buttocks), 
booger,n.,piece of snot  (nasal mucous).,You've got a booger on your shirt.
boogie,n.,type of dance  to rock music, 
boogie,v.,dance in a  particular style, 
boogie,v.,leave; go;  depart.,Time to boogie.
book,v.,charge a person  with a crime.,"We got our man, let's book him."
book,v.,leave; go;  depart.,"Gotta book, I'm meeting some friends soon."
boom box,n.,"a large,  portable stereo system.",Turn that damned boom box down.
boondocks,n.,"remote,  isolated area (often a village or town)", 
boondoggle,n.,government  activity that wastes taxes, 
boonies,n.,"remote,  isolated area (often a village or town; abbreviated form of boondocks)", 
boost,v.,shoplift; steal  from a store.,I boosted these from the drugstore.
bootie,n.,buttocks  (usually applies to a woman's buttocks), 
booty,n.,buttocks  (usually applies to a woman's buttocks), 
booty call,n.,state of sexual  arousal, 
booze,n.,alcoholic  beverage of any sort.,"Gimme some booze, now."
bop,v.,strike or punch  someone or something, 
bop,n.,kind of jazz  music from the 1940s, 
boppers,n.,amyl nitrite, 
boss,adj.,excellent;  very pleasing; great, 
bought it,idiom.,be killed.,He bought it when we raided that house.
bought the farm,idiom.,be killed.,He almost bought the farm on that last  patrol.
bounce,n.,energy; verve, 
bounce,v.,have a check  fail to clear payment due to lack of funds.,My checked bounced because I  forgot to put money into my account.
bounce,v.,leave; go;  depart.,"It's late, time to bounce"
bounce,v.,throw someone  out (usually from a bar or similar establishment), 
bounceback,n.,patient who  repeatedly returns to the hospital, 
bouncer,n.,"an individual  who throws out patrons, usually unruly ones, from a bar of similar  establishment", 
bouncer,n.,person in a  club or bar who maintains order, 
bow to the porcelain  altar,v.,vomit; throw up  (n.b.: the porcelain alter refers to a toilet bowl), 
box,n.,"a large,  portable stereo system", 
box,n.,computer;  desktop computer.,How many boxes do we have in storage now? Do any work?
boxed in,adj.,having few  choices or possibilities; having few options, 
bracelets,n.,handcuffs.,The cop slapped bracelets on the drunk driver.
brain bucket,n.,helmet for when  riding a bicycle or motorcycle, 
braindead,n.,dumb; stupid person, 
brainiac,n.,very smart  student.,"She's such a brainiac, always getting straight A's."
brass,n.,colonels and  generals (in the U.S. Army), 
BRB,abbr.,be right  back, 
bread,n.,money; cash.,"I'm broke, no bread left."
break,n.,opportunity;  change.,"What a lucky break, I get to go to Thailand."
break a leg,exclam.,"good luck;  hope all goes well (from theatrical slang, where ""good luck"" is a  jinx)", 
brew,n.,coffee; beer, 
brewsky,n.,"beer; a  (bottle, can, glass) of beer", 
Brickyard,n.,Indianapolis  racetrack (home of the Indy 500), 
broad,n.,woma, 
brown bag,v.,bring lunch in  a brown paper bag, 
brownout,n.,a reduced level  of electrical power.,Another brownout? Now I can barely see anything.
BTDT,abbr.,"been there,  done that", 
buck,n.,one dollar.,That costs two bucks.
buck sergeant,n.,"sergeant (E-5,  in the U.S. Army)", 
bucket of bolts,n.,machine that  functions poorly or is in a state of disrepar.,This damned bucket of bolts  won't even start half the time.
bucko,n.,friend; buddy, 
bud,n.,"beer;, esp.  Budweiser beer", 
buff,n.,enthusiast;  fan; avid practitioner.,She's such a movie buff.
buff,v.,prepare a  patient and details of care so discharge or transfer to another service will go  smoothly.,Just buff the patient's chart and get him out of here already.
bug juice,n.,fruit drink  (not carbonated), 
bug off,v.,go away; get  out, 
bug out,v.,leave or depart  rapidly.,"Enemy's coming, time to bug out."
bugger,exclam.,damn;  darn; drat (used to express frustration or annoyance).,Bugger it. I can't  take this anymore.
bugger,n.,"contemplible,  unappealing person", 
bugger,v.,cause serious  trouble or harm to somebody, 
bugger,v.,have anal  intercourse with, 
bugger about,v.,behave  carelessly or dumbly.,Stop buggering about and get to work.
bugger around,v.,behave  carelessly or dumbly, 
bugger it,idiom.,oh no; oh dear; uh-ho (a strong expression of  surprise or frustration).,Bugger it! I lost again.
bugger off,v.,go away; leave;  get out of here, 
bugger off,v.,imp. go away;  shove off.,Bugger off. Just go away.
bugly,adj.,ugly (from  butt and ugly), 
built,adj.,muscular;  strong in appearance; curvaceous, 
built like a brick  shithouse,adj.,muscular;  strong in appearance; curvaceous (said of women), 
bull,n.,nonsense (short  and less offensive form of bullshit).,That's complete bull. I don't believe  a word of it.
bullshit,exclam.,a strong  way to reject or challenge someone else's statement or claim.,Bullshit! That  can't be true.
bullshit,n.,nonsense;  rubbish; foolish talk or ideas.,"That's such bullshit, I don't believe any of  it."
bullshit artist,n.,an expect liar;  someone good at lying or exaggeration, 
bullshitter,n.,an expect liar;  someone good at lying or exaggeration, 
bum (someone) out,v.,discourage or  depress someone, 
bum (something) off,v.,ask or beg  something (usually small or minor), 
bummed,adj.,depressed;  discouraged; dow, 
bummed out,adj.,depressed;  discouraged; down, 
bummer,adj.,unpleasant;  unappealing; disappointing, 
bummer,n.,something or  someone unappealing or unpleasant.,"Major bummer, losing your job like that."
bump,v.,remove a  passenger with a confirmed reservation as a result of the flight being  overbooked.,I got bumped from my flight and am stuck here for two hours.
bumpee,n.,person who has  been removed from a commercial flight due to overbooking, 
bun in the oven,idiom.,pregnant.,"She's got another bun in the over, you  know."
bunk,n.,bunk bed, 
buns,n.,buttocks.,Nice buns on that chick. She must work out.
burbs,n.,suburbs.,You're living out in the burbs now?
burger,n.,hamburger.,"Gimme a burger, no fries."
burger joint,n.,place that  specializes in hamburgers, 
burn,v.,rob or cheat  someone (often used in the passive).,I got burned at the pawn shop when I  bought this thing.
burn rubber,v.,accelerate a  car so that the tires produce smoke and a squealing noise, 
bushed,adj.,tired;  exhausted.,"It's been a long day, and I'm bushed."
bust,n.,failure; poor  performance.,It's a bust. Complete failure.
bust,n.,"police raid (on  a criminal hideout, drug lab, etc.)", 
bust (one's) ass,v.,work very hard;  struggle.,I don't want to bust my ass here anymore.
bust one's balls,v.,work very hard;  make an extreme effort.,He busted his balls to get that paper done on time.
butch,adj.,masculine in  appearance and behavior (usually used for lesbians), 
butt,n.,a cigarette, 
butt,n.,buttocks  (shortened form), 
butt,n.,the filter/end  of a cigarette, 
butt naked,n.,completely nude, 
butter bar,n.,second  lieutenant (named for the appearance of the insignia in the U.S. Army) or the  rank insignia itself, 
butthead,n.,"obnoxious, dumb  person", 
butthole,n.,anus, 
buy,v.,approve;  accept; believe, 
buy it,v.,die.,He  bought it during night patrol.
buy the farm,v.,die.,He  bought the farm during that last raid.
buzz,n.,a telephone  call.,I'll give you a buzz later. What's your cell number?
buzz,v.,contact someone  using an intercom or similar device, 
buzz,v.,fly an aircraft  very low over an area.,The fighter jets buzzed the enemy camp.
buzz-kill,n.,a wet blanket;  someone or something that ends fun or good mood, 
café noir,n.,black coffee, 
cake hole,n.,mouth.,Shut  your cake hole or I'll smack you.
cakewalk,n.,"something  simple, easy, or straight-forward.","Total cakewalk, that test."
calc,n.,calculus (class  or subject in school).,My calc teacher makes it easier than I thought it'd  be.
call,n.,a predictio, 
call (someone) out,v.,challenge  someone to a fight or contest, 
call shotgun,v.,claim the seat  next to the driver in a car, 
can,n.,buttocks, 
can,n.,jail; prison, 
can,n.,toilet.,Gotta go to the ca
can,v.,fire; terminate  someone's employment.,He got canned for blogging too much at work.
candy-ass,n.,timid person;  coward, 
candy-assed,adj.,coward(ly);  timid; frightened, 
cannon cocker,n.,solider whose  specialty is artillery, 
cap,v.,kill; murder.,Shut up or I'll cap you.
capish,v.,understand  (usually as a question).,"This is what you gotta do, capish?"
carb,n.,carburetor.,How many horses in this carb?
card,n.,"amusing,  strange perso", 
card,v.,check someone's  identification for age.,I got carded when I tried to buy beer.
cash cow,n.,good source of  income, 
cat,n.,guy; fellow;  dude (rarely used), 
catch some rays,v.,sunbathe; get a  ta, 
catch some Z's,v.,sleep; take a  nap, 
catch you later,v.,good-bye for  now; see you soon, 
catshot,n.,aircraft  takeoff from a carrier using a catapult, 
CBNC,abbr.,close but  not cigar, 
chap,n.,fellow; guy, 
chaser,n.,strong liquor  drunk quickly after a weak drink such as beer, 
check that,v.,ignore that;  cancel that (last remark or item), 
cheeky,adj.,irreverent;  impudent, 
cheese,v.,smile (when  asked with the word as someone takes a picture).,Say cheese for the camera.
cheesed off,adj.,upset;  disgusted; angry, 
cheesehead,n.,person from the  state of Wisconsin, 
cheesehead,n.,person who does  stupid things, 
cheesy,adj.,tacky; cheap;  smarmy.,"What a cheesy sweater, it looks horrid."
chem,n.,chemistry  (class or subject in school).,Chem was my worst science in high school.
cherry,n.,"hymen (by  extension, a female virgin)", 
cherry,n.,novice; newbie;  inexperienced person, 
cherry,n.,new recruit (in  the U.S. Army), 
chew someone's ass  out,v.,criticize or  scold someone, 
chicken,n.,coward.,"Don't be chicken, just give it a try."
chicken,n.,"game in which  two drivers drive toward each other head-on and the first driver to veer off is  the loser (hence chicken, as in coward)", 
chicken out,v.,avoid something  due to fear.,He chickened out at the last minute and didn't take the bet.
chicken shit,adj.,fearful;  cowardly, 
chicken shit,n.,almost nothing;  worthless, 
chief,n.,form of address  (to a friend or other familiar person; not often used).,"Hey, chief, what's  doing?"
chief,n.,unofficial form  of address for any Warrant Officer (CW-2 to CW-5 in the U.S. Army), 
chill,v.,relax; calm dow, 
chill out,v.,relax; calm dow, 
chink,n.,Chinese;  Chinese person, 
chintzy,adj.,shoddy;  cheap; stingy; miserly, 
chips and salsa,n.,computer  hardware and software, 
chivvy,v.,repeatedly tell  somebody to do something, 
chivy,v.,repeatedly tell  somebody to do something, 
chocoholic,n.,person who  loves chocolate in any form, 
choke,v.,panic (usually  before an exam).,I totally choked on the calc test last week.
chop shop,n.,"place where  stolen cars are cut apart, the resulting parts sold individually", 
chopper,n.,motorcyle, 
chotchke,n.,small item;  trinket, 
chow,idiom.,good-bye (from Italian).,"I'm off now, chow."
chow,n.,food; meal, 
chow,n.,"food; meal;  breakfast, lunch, or dinner", 
chow down,v.,eat; consume  food and drink, 
chown down,v.,eat; have a  meal, 
chrome dome,n.,bald person  (usually male), 
chubby,adj.,slightly  overweight; rotund, 
chuck,v.,dump; reject;  break up with somebody, 
chuck,v.,throw away  something; discard.,"I never use this, so just chuck it."
chugalug,v.,drink quickly  without gulping, 
chute,n.,straighaway  portion of a racetrack, 
ciao,idiom.,good-bye (from Italian).,"I'm off now, ciao."
circle the drain,v.,be moribund; be  in the process of dying or failing, 
circle-jerk,n.,a group of men  masturbating together, 
circling the drain,adj.,expected to  die shortly.,He's circling the drain and won't last much longer.
City of Brotherly  Love,n.,Philadelphia, 
civvies,n.,civilian  clothing, 
clamshell,n.,luggage  container that is put on a car's roof (it opens like a clam does), 
clap,n.,gonorrhea, 
class-A uniform,n.,class-A dress  uniform, 
class-A’s,n.,class-A dress  uniform, 
click,n.,kilometer, 
clincher,n.,the last step;  the final straw, 
clip,n.,high speed;  fast, 
clip,n.,short video or  audio segment, 
clit,n.,clitoris, 
clod,n.,oaf; stupid  person, 
clunder,n.,old car in poor  condition, 
clunk,n.,the sound of  something hitting or striking something else, 
clunker,n.,"used, worn-down  machine (incl. computers, cars, appliances)", 
cluster fuck,n.,totally screwed  up situation or circumstances, 
cluster fuck,n.,group rape, 
clutch up,v.,"become nervous,  tense, or anxious", 
CO,n.,commanding  officer, 
cock,n.,the penis, 
cock tease,n.,a woman who  makes sexual advances but does not follow through, 
cock up,v.,screw up; make  a mistake; goof, 
cock-eyed,adj.,screwy;  nutty; insane; crazy; impractical, 
cock-sucker,n.,"worthless,  unappealing person (usually said of a man)", 
code,v.,go into cardiac  arrest and require resuscitation, 
code warrior,n.,person who  writes software code, 
coin,n.,money; cash.,You can make some serious coin by working here.
cojones,n.,testicles; guts  (from Spanish), 
coke,n.,cocaine, 
cold,adj.,dead.,He's  cold. No need to shoot him again.
cold,adv.,suddendly and  completely.,He stopped cold when he saw the dead body.
cold fish,n.,"unresponsive,  uninteresting person (often with sexual undertones).","She's such a cold fish,  no guy would want to date her."
collar,n.,arresting of  someone.,"Any new collars last night, officer?"
collar,v.,arrest someone.,The cops collared two pros over there yesterday.
come,n.,semen, 
come,v.,experience  orgasm, 
come and get it,n.,dinner is  ready; dinner is on the table.,Come and get it. Dinner's ready.
come back to haunt  (someone),v.,result in  undesirable effects eventually, 
come down,n.,disappointment;  letdown, 
come down,v.,happen; occur;  take place, 
come home to haunt  (someone),v.,result in  undesirable effects eventually, 
come off it,exclam.,behave  nicely or pleasantly.,"Oh, come of it, no one believes you"
come on,n.,an invitation  (often duplicitous or sexual).,What a come on! I don't believe any of it.
come on to,v.,approach  someone with sexual or romantic intentions, 
come out of the  closet,v.,reveal publicly  that one is homosexual, 
come up for air,v.,pause; take a  break; rest, 
comfort food,n.,food that calms  one down or reminds one of pleasant times, 
commo,n.,"communications,  especially radio", 
comp,v.,give someone  something for free, 
con,n.,convict, 
con,v.,deceive; cheat;  swindle.,"Don't try to con me, I know you're lying."
con artist,n.,swindler;  someone who deceives people out of money, 
con man,n.,swindler;  someone who deceives people out of money, 
conehead,n.,oaf; fool;  stupid person, 
conk,v.,go to sleep;  fall asleep, 
cook,v.,mix heroin with water, 
cool,adj.,excellent;  very pleasing; great, 
cool,adj.,relaxed; at  ease; unrufffled, 
cool down,v.,calm down;  relax, 
cool it,exclam.,calm down;  relax; take it easy; stop it, 
cool off,v.,calm down;  relax, 
cooler,n.,jail; prison, 
cooler,n.,"drink made of  wine, fruit juice, and soda water", 
cop,n.,police officer.,The cops around here are actually very nice and helpful.
cop,v.,take something;  grab something; steal something.,He copped a feel as she walked by.
cop a plea,v.,plead guilty to  a lesser charge when in court.,The prostitute copped a plea and got  probation.
cop an attitude,v.,be oppositional  or defiant.,"Don't cop an attitude with me, it won't work."
cop out,v.,plead guilty to  a lesser charge when in court, 
cop out,v.,quit; give up;  abandon, 
copper,n.,police officer, 
couch potato,n.,"lazy person who  watches television, movies, or plays video games", 
cough it up,v.,give something  (usually money and usually unwillingly), 
cow chips,n.,dried cow feces, 
cowboy,n.,"independent,  risk-taking man", 
coyote ugly,adj.,very ugly, 
cozy up to,v.,become very  close to someone in order to get something, 
crab,n.,louse; lice  (usually used in the plural), 
crack,n.,an attempt; a  try; a go.,Let me have a crack at it.
crack,n.,break down;  fail, 
