Text_Chunks,Translation_to_SPA
"And you know, I remember years ago, I bought something online that was that you could stand up and pee for women. It was like, like a cup that you put over your vulva and then it comes out like basically like a makeshift penis. And you can stand in pee, and I used it, I remember I was at Jessica’s friend’s house. We were watching the oddly like the man show, season something Premiere or whatever. I don’t know why I remember that. And I go, oh, I’m gonna use my standing pee thing. And I used it, and it worked. But it made me feel so weird. Like I was just by myself, you know, maybe just gotta look to little.","Y sabes, recuerdo que hace años compré algo en línea que permitía a las mujeres ponerse de pie y orinar. Era como una copa que te pones sobre la vulva y luego sale básicamente como un pene improvisado. Y puedes pararte para orinar, y lo usé, recuerdo que estaba en la casa de una amiga de Jessica. Estábamos viendo el programa extraño como el hombre, la temporada, el estreno o lo que sea. No sé por qué recuerdo eso. Y digo, oh, voy a usar mi cosa de orinar de pie. Y lo usé y funcionó. Pero me hizo sentir muy raro. Como si estuviera solo, ya sabes, tal vez solo tenga que mirar un poco."
Is it like a funnel?,¿Es como un embudo?
"It’s like a funnel basically, it’s a funnel. And you’d think oh, great. Gonna have it in cars gonna have it. I’m gonna have it for you know, whatever, it’s like if you go to a concert if you go to, because guys don’t realize like when you have to sit, and you’re like, it’s fun to go to a dingy dive bar until you’re a woman and you have to pee. It’s like a whole process.","Básicamente es como un embudo, es un embudo. Y pensarías oh, genial. Lo tendremos en los coches. Lo tendremos. Lo tendré para que ya sabes, lo que sea, es como si fueras a un concierto si vas, porque los chicos no se dan cuenta cuando tienes que sentarte, y piensas, es divertido ir a un bar sucio hasta que eres mujer y tienes que orinar. Es como todo un proceso."
I’m a two seat cover kind of girl over here.,Soy una chica del tipo que cubre dos asientos por aquí.
"Needless to say, we I think even the audience knows this.",No hace falta decir que creo que incluso el público lo sabe.
"Which is why, Chicago O’Hare Airport is the best place so good to be.","Por eso, el Aeropuerto O’Hare de Chicago es el mejor lugar para estar."
"That’s the one where you press the button and it it’s a brand new like, covered in a bag.","En ese es en el que presionas el botón y es como nuevo, cubierto en una bolsa."
Yes.,Sí.
It’s why don’t they do that everywhere? Why is it every airport this way?,¿Por qué no hacen eso en todas partes? ¿Por qué todos los aeropuertos son así?
But then I also know they say like seat seats are like the cleanest?,Pero también sé que dicen que los asientos son los más limpios.
"Yes, the seats I sit down like I just sat down on the seat here, it’s immaculate.","Sí, los asientos en los que me siento como si me acabara de sentar aquí, están impecables."
"Yeah, that’s not ever gonna be me.","Sí, ese nunca seré yo."
"Yeah, I know. But like tushy cheeks aren’t dirty.",Si lo se. Pero como si las mejillas con tus traseros no estuvieran sucias.
"I know, but that’s that’s yours. I mean, we could probably make an argument that tushy cheeks are incredibly dirty, depending on how well someone’s wiping.","Lo sé, pero eso es tuyo. Quiero decir, probablemente podríamos argumentar que las mejillas con traseros están increíblemente sucias, dependiendo de qué tan bien se limpie alguien."
"Oh, god, yeah, if you shit it on your ass cheeks, your there’s you’ve got more problems. I’m guessing, there’s no way your only problem in life is you smear shit on your ass cheeks when you wipe God. Anyway, let’s take some calls.","Oh, Dios, sí, si te lo cagas en las nalgas, tendrás más problemas. Supongo que no hay forma de que tu único problema en la vida sea que te untes mierda en las nalgas cuando limpias a Dios. De todos modos, atendamos algunas llamadas."
"Hi, Sarah, this is Kelly and I was hoping to ask you your opinion on long term goals. I am a small business owner, 44 years old. And I wanted to know how you approach long term goals. Because to me, they’re kind of moot because we’re not in control of everything so I look to the future. I know, like by 64, I would want to sell my business or retire. It’s like 20 years. But then I think about like all the stuff that can happen and 20 years, especially with how unstable everything is right now. So I struggle with developing those long term goals. And then I even struggle with the short term goals to get me to that long term goal, if that makes any sense. Yeah, I just wanted to get your opinion on that. And see how you as a business owner and media personality and fantastic person all around if you have any advice for that, because you have great advice, and thank you so much for all your wonderful entertaining, comedy and advice. It is something that I look forward to every Thursday morning when I’m walking my dog, Biscuit. So thanks so much, and hope to hear from you soon.","Hola, Sarah, soy Kelly y esperaba pedirte tu opinión sobre los objetivos a largo plazo. Soy propietario de una pequeña empresa, tengo 44 años. Y quería saber cómo abordas los objetivos a largo plazo. Porque para mí son un poco discutibles porque no tenemos el control de todo, así que miro hacia el futuro. Sé que, cuando tenga 64 años, me gustaría vender mi negocio o jubilarme. Son como 20 años. Pero luego pienso en todas las cosas que pueden pasar en 20 años, especialmente en lo inestable que es todo ahora. Por eso me cuesta desarrollar esos objetivos a largo plazo. Y luego incluso lucho con las metas a corto plazo para llegar a la meta a largo plazo, si eso tiene algún sentido. Sí, sólo quería saber tu opinión sobre eso. Y vea cómo usted, como propietario de un negocio, personalidad de los medios y persona fantástica, tiene algún consejo al respecto, porque tiene excelentes consejos y muchas gracias por todo su maravilloso entretenimiento, comedia y consejos. Es algo que espero con ansias todos los jueves por la mañana cuando salgo a pasear a mi perro, Biscuit. Muchas gracias y espero tener noticias tuyas pronto."
"Hi Biscuit, you gonna walk? You gonna walk? Hey, biscuit. I just want you to play that for Biscuit. I wouldn’t say I’m goalless. But I always struggle with this because they never think about like, I want to do this in the next five years or I want to […] but I mean, I think because I’ve really come to a place where I fully understand and accept that I’ve never been able to predict the future and will never be able to predict the future so that helps me with anxiety, you know, just not trying to predict the future not trying to worry, tell myself horror stories about how that’s going to unfold because we just never know, we’ve never been able to know, you’ve never been able to predict anything your life. And neither have I. But in terms of long term goals, I mean things that I’ve said to friends, you know, who asked, I would say, make a plan, like you have 20 more years of your business and then retire, you’re making a long term goal. And then you follow that plan, follow that plan until it no longer serves you if you know there’s gonna, it’s either going to, you’re going to see it through through fruition and everything will go as planned, and more likely other things will happen, life will happen that will take you in a different direction and you’ll make a new plan. You know, I mean, goals are great, but it’s of course the road getting to those goals, that is the stuff of life, you have to hopefully enjoy that stuff. You know, because the goal either comes or doesn’t, you know, but the road get going there should be your joy, you know, obviously, like, maybe your joy isn’t working at all, you know, is not having a job or not having a business but you need to, you know, also being responsible for your happiness includes, you know, taking care of yourself financially so obviously it’s a mix of all those things. But um, you know, you got a long term goal. You have a plan to get there and follow that plan unless and until it doesn’t serve you anymore and then you make a new one. I don’t know what else? What other advice I can give along that but it sounds like you’re you’re doing great. But you know, I mean, not fulfilling a goal isn’t necessarily failure and failure isn’t even necessarily bad. So control what you can control and be on the edge of your seat for the rest of it. Good luck, what else?","Hola Biscuit, ¿vas a caminar? ¿Vas a caminar? Oye, galleta. Sólo quiero que toques eso para Biscuit. No diría que no tengo goles. Pero siempre lucho con esto porque nunca piensan en: quiero hacer esto en los próximos cinco años o quiero […] pero quiero decir, creo que porque realmente he llegado a un lugar donde entiendo completamente y Aceptar que nunca he podido predecir el futuro y que nunca podré predecir el futuro, eso me ayuda con la ansiedad, ya sabes, simplemente no intentar predecir el futuro, no intentar preocuparme, contarme historias de terror sobre cómo es eso. se va a desarrollar porque simplemente nunca lo sabemos, nunca hemos podido saberlo, nunca has podido predecir nada en tu vida. Y yo tampoco. Pero en términos de objetivos a largo plazo, me refiero a cosas que les he dicho a amigos, ya sabes, que me pidieron, yo diría, hacer un plan, como si tuvieras 20 años más de tu negocio y luego jubilarte. , estás estableciendo un objetivo a largo plazo. Y luego sigues ese plan, sigues ese plan hasta que ya no te sirva, si sabes que lo hará, lo llevarás a cabo y todo saldrá según lo planeado, y lo más probable es que otras cosas sucedan. sucederá, sucederá una vida que te llevará en una dirección diferente y harás un nuevo plan. Ya sabes, quiero decir, las metas son geniales, pero, por supuesto, es el camino para alcanzar esas metas, esa es la esencia de la vida, con suerte hay que disfrutarlas. Ya sabes, porque la meta llega o no llega, ya sabes, pero el camino para llegar allí debería ser tu alegría, ya sabes, obviamente, tal vez tu alegría no esté funcionando en absoluto, ya sabes, es no tener un trabajo o no tener un negocio, pero lo necesitas, ya sabes, también ser responsable de tu felicidad incluye, ya sabes, cuidarte financieramente, así que obviamente es una combinación de todas esas cosas. Pero ya sabes, tienes un objetivo a largo plazo. Tienes un plan para llegar allí y seguir ese plan a menos y hasta que ya no te sirva y luego creas uno nuevo. ¿No sé qué más? ¿Qué otro consejo puedo darte? Parece que lo estás haciendo muy bien. Pero ya sabes, quiero decir, no cumplir una meta no es necesariamente un fracaso y el fracaso ni siquiera es necesariamente malo. Así que controla lo que puedas controlar y mantente al borde de tu asiento durante el resto. Buena suerte, ¿qué más?"
"I Sarah, what would be your favorite deep cut of yours? Like someone a fan passes you on the street? And they say, oh my god, I loved you in what’s the thing someone could say they saw and loved you and or like heard you in or knew that you were involved with that would make you most jazzed about that fun interaction?","Yo, Sarah, ¿cuál sería tu corte profundo favorito? ¿Como si un fan se cruzara contigo en la calle? Y dicen, oh Dios mío, te amé en ¿qué es lo que alguien podría decir que te vio y amó o que te escuchó o supo que estabas involucrado en eso que te entusiasmaría más con esa interacción divertida?"
"Well, it’s, you know, again, I like that I do odd jobs, and it’s just funny. The way people know me like there are certain people that know me from Star Trek Voyager. And then there are people that only know me from Howard Stern. And then there are people that know me from like, Monk. And then there are people that are like, I was at Canter’s the other day, and the waitress goes, and I counters it’s like, I love counters all the waitresses are like, waitress all the servers sorry, are like 78 you know? But she goes, are you who you are? Are you who I think you are? And I go I maybe she goes, where are you the one from Marry Me? I was like, oh, yeah, I was in that movie. I guess I was like a friend and then movie. There are also people who know me, there are people just know me from stand up. So they just go oh, she’s really dirty, or she’s really blue. And then there’s people who know me, like I said from like, Monk, and they go, Oh, this is the one from Monk will go see her live and then they’re horrified. You know, there’s also people who who will reference. This is a deep cut is the way of the gun, which is a movie that I’m in just the first scene before the credits. And my character’s name, which I didn’t know until I saw it. And they it says just as raving bitch. But I get beat up by a lovely Ryan Philippi. And it’s a really dark, great movie. I think it’s Christopher McQuarrie, his first movie that he directed, but um, that was one of the three times I was punched in the face, because the other ones were more on purpose. But Ryan beats me up and we of course, you know, practice and we’re taught how to do it and everything. And I know, this sounds like a you know, I don’t mean to blame myself, but I think I’m I maybe I leaned in or something, whatever. But he fully connected, knocked to me off my feet. By the time I opened my eyes, I probably would have cried. But um, he was already crying. I think I’ve already told the story. So I was immediately like, it’s okay. He felt awful but it was cool. I had a huge like black and blue egg on my jaw. And that I believe that was the tape they used. And if not, they actually use the sound from it cracking my job because you can hear it. But that’s a good one. That’s a deep cut for sure.","Bueno, ya sabes, una vez más, me gusta hacer trabajos ocasionales y es simplemente divertido. La forma en que la gente me conoce es que hay ciertas personas que me conocen de Star Trek Voyager. Y luego hay gente que sólo me conoce de Howard Stern. Y luego hay gente que me conoce, como Monk. Y luego hay gente que dice, estuve en Canter's el otro día, y la camarera va, y yo contesto, me encantan los mostradores, todas las camareras son, camarera, todos los camareros lo siento, son como 78, ¿sabes? Pero ella dice, ¿eres tú quien eres? ¿Eres quien creo que eres? Y yo voy y tal vez ella vaya, ¿dónde estás tú, el de Marry Me? Pensé, oh, sí, estuve en esa película. Supongo que era como un amigo y luego una película. También hay gente que me conoce, hay gente que me conoce simplemente de pie. Entonces simplemente dicen: ""Está muy sucia o está muy azul"". Y luego hay gente que me conoce, como dije de Monk, y dicen: Oh, esta es la de Monk, irá a verla en vivo y luego se horrorizan. Ya sabes, también hay personas que harán referencia. Este es un corte profundo en The Way of the Gun, que es una película en la que estoy justo en la primera escena antes de los créditos. Y el nombre de mi personaje, que no supe hasta que lo vi. Y ellos dicen igual de perra delirante. Pero un encantador Ryan Philippi me golpea. Y es una gran película realmente oscura. Creo que es Christopher McQuarrie, la primera película que dirigió, pero um, esa fue una de las tres veces que me golpearon en la cara, porque las otras fueron más a propósito. Pero Ryan me golpea y, por supuesto, ya sabes, practicamos y nos enseñan cómo hacerlo y todo. Y lo sé, esto suena como, ya sabes, no quiero culparme a mí mismo, pero creo que tal vez me incliné o algo así, lo que sea. Pero él conectó completamente y me derribó. Cuando abrí los ojos, probablemente habría llorado. Pero bueno, ya estaba llorando. Creo que ya he contado la historia. Entonces pensé inmediatamente, está bien. Se sintió fatal pero fue genial. Tenía un enorme huevo negro y azul en la mandíbula. Y esa creo que esa fue la cinta que usaron. Y si no, en realidad usan el sonido que genera para romper mi trabajo porque puedes escucharlo. Pero esa es buena. Seguro que es un corte profundo."
"Hi, Sarah, my name is Emily. I nine years old. And I really want to be an actor. My mom doesn’t know if he wants me to do it. Because he said actor kids are spoiled brats. My question is, do you ever work with kids? And it’s my mom, right?","Hola Sara, mi nombre es Emily. Yo tengo nueve años. Y tengo muchas ganas de ser actor. Mi mamá no sabe si quiere que lo haga. Porque dijo que los niños actores son unos mocosos mimados. Mi pregunta es, ¿alguna vez trabajas con niños? Y es mi mamá, ¿verdad?"
"Hey, Sarah, is your friend Mark, longtime fans love your comedy. I think we’re getting better every year. Please don’t ever stop.","Hola, Sarah, soy tu amigo Mark. A los fans de toda la vida les encanta tu comedia. Creo que estamos mejorando cada año. Por favor, nunca te detengas."
"Thanks, Mark.","Gracias, Marcos."
"Just listened to your recent podcast with the call from the listener who’s having trouble with gas as a result of a botched surgery some 47 years ago. And yeah, that’s a tricky one. But at the end of your little segment on this, you said I’m sure my listeners will be calling in and well, I’m one of them.","Acabo de escuchar su reciente podcast con la llamada de un oyente que tiene problemas con los gases como resultado de una cirugía fallida hace unos 47 años. Y sí, esa es complicada. Pero al final de tu pequeño segmento sobre esto, dijiste: Estoy seguro de que mis oyentes te llamarán y bueno, yo soy uno de ellos."
"Oh, good.",Oh Dios.
"I googled the problem and found a solution at least a partial solution. And that is a product called tootles TOOTLES thought it was a funny name. And I knew it would resonate with you […] it is underwear both for men and women that has a charcoal filter built into the back. I don’t think it’ll handle the noise aspect. But it should certainly address the smell. So if she could manage to adjust her rump in a way to minimize the vibration, then tootles should take care of the rest. I hope this helps love you.","Busqué en Google el problema y encontré una solución, al menos parcial. Y ese es un producto llamado Tootles. A TOOTLES le pareció un nombre gracioso. Y sabía que resonaría en ti […] es ropa interior tanto para hombres como para mujeres que tiene un filtro de carbón incorporado en la parte posterior. No creo que aguante el aspecto del ruido. Pero ciertamente debería abordar el olor. Entonces, si ella pudo ajustar su trasero de manera que minimizara la vibración, entonces Tootles debería encargarse del resto. Espero que esto ayude a amarte."
"You know, I was sent a link to charcoal underwear by Jimmy Kimmel years ago and he’s like, dude, you should get this first of all, I don’t pass much gas and if I do, it never smells. If it does, it’s maybe because I’m like really sick or something like but it doesn’t, you know, but anyway, not that there’s anything wrong with that. But that was always like a thing with him and me he would anyway that’s ridiculous. I don’t do that. But um I so I am a little bit familiar with her charcoal underwear, it doesn’t muffle any sound. It’s just that the smelly air passes through it and the charcoal like cleans the smell or something. That’s not the technical answer, obviously. Anyway, thanks Mark, Tootles underwear. I don’t know if it’s, she didn’t mention it smelling but that’s definitely a good to know. All right, what else?","Sabes, Jimmy Kimmel me envió un enlace a ropa interior de carbón hace años y me dijo, amigo, primero deberías conseguir esto, no expulso muchos gases y, si lo hago, nunca huele. Si es así, es tal vez porque estoy muy enfermo o algo así, pero no es así, ya sabes, pero de todos modos, no es que haya nada malo en eso. Pero eso siempre fue algo entre él y yo. De todos modos, eso es ridículo. Yo no hago eso. Pero estoy un poco familiarizado con su ropa interior color carbón, no amortigua ningún sonido. Es solo que el aire maloliente pasa a través de él y el carbón limpia el olor o algo así. Obviamente, esa no es la respuesta técnica. De todos modos, gracias Mark, ropa interior de Tootles. No sé si lo es, ella no mencionó el olor, pero definitivamente es bueno saberlo. Muy bien, ¿qué más?"
"I Sarah, my name is John and I’m calling I just listened to your episode being girlfriend roof, roof feed, and I was very title running to the caller who was having what’s called fecal incontinence due to an accident and the seven days. It’s very common and it’s horrible that she has to think endure this alone, I too had the same problem due to radiation from lymphoma located in my lower region. I was put in touch with a colorectal doctor and he did something called a neuromodulation stimulator. And what it’s doing is it retrained, think of like those nerves, it’s the sacral nerve. And when the sacral nerve is damaged, think of it like a plant that is frozen at winter and it just dies back and when it gets to a certain level of dying back, it no longer works and you develop those type of symptoms. But the neuro modulator stimulator go stimulator is a surgically implanted device very similar to like a pacemaker for your heart. It’s a pacemaker for your poop, and it stimulates the sacral nerves, and I had 100% success with it and now I go about life not looking for a bathroom or.","Yo, Sarah, mi nombre es John y estoy llamando. Acabo de escuchar tu episodio sobre el techo de la novia, la alimentación del techo, y estaba muy interesado en dirigirme a la persona que llamó y que tenía lo que se llama incontinencia fecal debido a un accidente y a los siete días. Es muy común y es horrible que ella tenga que pensar aguantar esto sola, yo también tuve el mismo problema por la radiación de un linfoma localizado en mi región inferior. Me pusieron en contacto con un médico colorrectal y me hizo algo llamado estimulador de neuromodulación. Y lo que está haciendo es volver a entrenarlo, piense en esos nervios, es el nervio sacro. Y cuando el nervio sacro está dañado, piense en él como una planta que se congela en invierno y simplemente muere y cuando llega a un cierto nivel de muerte, ya no funciona y desarrolla ese tipo de síntomas. Pero el estimulador neuromodulador go stimulator es un dispositivo implantado quirúrgicamente muy similar a un marcapasos para el corazón. Es un marcapasos para tu caca y estimula los nervios sacros, tuve 100% de éxito con él y ahora sigo con la vida sin buscar un baño o."
"We should sacral nerves stimulator wonder if that’s covered by insurance, it certainly shouldn’t be for her. Sacral nerve stimulation is covered for the treatment of urinary urge incontinence urgency frequency syndrome and urinary retention. No but oh and fecal incontinence, incontinence? Is it covered by insurance? For ongoing therapy, the cost of the sacral nerve stimulation surgical implant was $22,970. Well, we should let her know about it. Maybe her insurance covers it. God, insurance, this whole racket of health care Gosh, darn it. I don’t want to get into it but anyway, thank you, John, for calling in. Let’s pass that information on. We have another one about this passing gas. Let’s see.","Deberíamos preguntarnos si eso está cubierto por el seguro, ciertamente no debería serlo para ella. La estimulación del nervio sacro está cubierta para el tratamiento del síndrome de frecuencia de urgencia y de incontinencia urinaria de urgencia y la retención urinaria. No pero ah y la incontinencia fecal, ¿incontinencia? ¿Está cubierto por el seguro? Para la terapia en curso, el costo del implante quirúrgico de estimulación del nervio sacro fue de $22,970. Bueno, deberíamos hacérselo saber. Quizás su seguro lo cubra. Dios, seguros, todo este escándalo de la atención médica. Dios, maldita sea. No quiero entrar en detalles, pero de todos modos, gracias John por llamarnos. Pasemos esa información. Tenemos otro sobre este gas que pasa. Vamos a ver."
"Hey, Sarah, my name is Zoey. I first time caller. I just love and appreciate you so much. I have so many things to say. But specifically, I just listened to the episode about the lady who has you know, unintentional farts, and it sounds like.","Hola, Sarah, mi nombre es Zoey. Llamo por primera vez. Simplemente te amo y te aprecio mucho. Tengo tantas cosas que decir. Pero específicamente, acabo de escuchar el episodio sobre la dama que, ya sabes, se tira pedos involuntarios, y suena así."
Everyone’s way of describing it.,La forma que cada uno tiene de describirlo.
"And I guess I was thinking what she could say would be something like I have a medical problem, that’s likely to happen again. Because we’re human, it’s okay to laugh and say it in a serious way so it’s not like you’re really inviting laughter but just taking the forbidden aspect out of the laughter makes it actually live maybe less likely to happen. And just that we can all move on from that. I’m a nurse, I’m a hospice nurse. I just want to thank you so much from deep deep in my heart from for sharing your experiences with your the death of your dad and your stepmom there was so there was so much that so much I’m thankful for. And also last episode, I was, you talked about hearing loss. You talked about poor eyesight. I think you’ve met mentioned granny panties. There was some other very geriatric topic, and I’m I’m myself I’m 47 and I’m just so happy that to be you know, going through this time of life with you, thanks.","Y supongo que estaba pensando que lo que ella podría decir sería algo así como que tengo un problema médico, que es probable que vuelva a suceder. Debido a que somos humanos, está bien reír y decirlo de manera seria, así que no es como si realmente estuvieras provocando la risa, pero simplemente quitar el aspecto prohibido de la risa hace que sea realmente vivo y tal vez sea menos probable que suceda. Y simplemente todos podemos seguir adelante a partir de eso. Soy enfermera, soy enfermera de cuidados paliativos. Solo quiero agradecerte mucho desde lo más profundo de mi corazón por compartir tus experiencias con la muerte de tu papá y tu madrastra, hubo tantas cosas por las que estoy agradecido. Y también en el último episodio hablaste sobre la pérdida de audición. Hablaste de problemas de visión. Creo que conociste las bragas de abuela mencionadas. Hubo otro tema muy geriátrico, y yo soy yo mismo, tengo 47 años y estoy muy feliz de poder estar, ya sabes, pasando por este momento de la vida contigo, gracias."
"I love that, it’s like it is true. It’s like we’re all like everyone in our age group is like going through it together, it’s like I remember hearing about like, Steve Martin and Martin Short and or like a bunch of comedians that all scheduled their colonoscopies like on the same day and then did prep together and played poker and just took turns like running to the bathroom together. And I just like it’s so there’s something very sweet about that.","Me encanta, es como si fuera verdad. Es como si todos en nuestro grupo de edad estuvieran pasando por esto juntos, es como si recordara haber oído hablar de Steve Martin y Martin Short y/o de un grupo de comediantes que programaron sus colonoscopias para el mismo día y Luego se prepararon juntos y jugaron al póquer y simplemente se turnaron para correr juntos al baño. Y simplemente me gusta, hay algo muy dulce en eso."
"Hi, Sarah. I’m calling again from Barcelona. My name is Presley. Soy artista, and my previous question was about your famous dish that you would cook you may be featured in my cookbook, Sarah Silverman, very random great not special. My next question is I’m currently drawing a series based on Legendary establishments around the world. I was in LA over Christmas and I, I drew a few places for example, in of the sevens array, Casa Vega, El Compadre […] set Tower Hotel and I just wanted to know what is a legendary bar or restaurant to you? Where is the most legendary spot that I can draw in LA? Thanks a lot, bye.","Hola Sarah. Vuelvo a llamar desde Barcelona. Mi nombre es Presley. Soy artista, y mi pregunta anterior fue sobre tu famoso plato que cocinarías. Quizás aparezca en mi libro de cocina, Sarah Silverman, muy aleatorio, genial, no especial. Mi siguiente pregunta es que actualmente estoy dibujando una serie basada en establecimientos legendarios de todo el mundo. Estuve en Los Ángeles durante la Navidad y dibujé algunos lugares, por ejemplo, en el grupo Sevens, Casa Vega, El Compadre […] en el Tower Hotel y solo quería saber qué es para ti un bar o restaurante legendario. ¿Dónde está el lugar más legendario que puedo dibujar en Los Ángeles? Muchas gracias, adios."
"I mean LA is so many things, but for some reason I thought of Joan’s on Third just because I do think its aesthetic is so beautiful and I could see it drawn but Joan’s on Third is the restaurant on on third Street and it’s it’s just beautiful. It’s like there isn’t even a lot of can eat there but it’s so good. It’s just beautiful. It looks like it looks like the kitchen in every Nancy Meyers movie like I have to believe she bases her kitchens, her movie kitchens on Joan’s on Third there’s something about it, that’s like so reminds me of of any, any characters like gorgeous kitchen and a Nancy Meyers movie. Do you know what I mean? Amy?","Quiero decir, Los Ángeles es tantas cosas, pero por alguna razón pensé en Joan's on Third solo porque creo que su estética es muy hermosa y pude verlo dibujado, pero Joan's on Third es el restaurante en Third Street y es simplemente hermoso. . Es como si ni siquiera hubiera muchas latas de comer allí, pero es muy bueno. Es simplemente hermoso. Parece que se parece a la cocina de todas las películas de Nancy Meyers. Tengo que creer que ella basa sus cocinas, las cocinas de sus películas en Joan's on Third. Hay algo en ello que me recuerda a cualquier personaje, como Gorgeous Kitchen y una película de Nancy Meyers. ¿Sabes lo que quiero decir? ¿Amy?"
"Yeah, I love that idea. And I could add a few.","Sí, me encanta esa idea. Y podría agregar algunos."
"Go on, yeah. Amy born and raised LA. So she would mean.","Continúe, sí. Amy nació y creció en Los Ángeles. Entonces ella querría decir."
"You mentioned Cantor’s, which is obviously a staple.","Mencionaste Cantor's, que obviamente es un alimento básico."
"Can’t wait, did I mentioned Cantor’s?","No puedo esperar, ¿mencioné el de Cantor?"
You mentioned in an answering another question when you said you were at Cantor.,Mencionaste al responder otra pregunta cuando dijiste que estabas en Cantor.
"Oh, yeah, Canter’s, God.","Oh, sí, Canter's, Dios."
"I would say any of the delis like a Nate now, a Canter’s. I also would say that LA Los Angeles is known for its Googy establishments, which is like a mid century kind of like the way that norms looks or those old diners.","Yo diría que cualquiera de las delicatessen ahora es como un Nate, un Canter's. También diría que Los Ángeles es conocido por sus establecimientos Googy, que son como de mediados de siglo, parecidos a la apariencia de las normas o de esos viejos comensales."
And there’s Johnny’s that’s basically just for films.,"Y está Johnny's, que es básicamente solo para películas."
