English,Spanish,Spanish_NEU,Spanish_NEG,Spanish_POS,English_NEU,English_NEG,English_POS
"Yeah, I think I had more awareness than I should have had. I had asthma when I was little. And in the 80s, pre ACA, pre existing conditions were exempt from coverage for your health care plan. And so my asthma was never covered. And that meant like a trip to the ER would be exorbitant. And a nebulizer was like, out of the question. Like, there’s no way we could afford it. And inhalers, you know, like 50-60 bucks a pop. And so I was constantly like, fearful of having an asthma attack and being, you know, a problem and I could overhear the conversations about like medical bills and you know, this doctor, this doctor or they want to send her to pulmonologist or an allergy and asthma doc, and we just can’t swing it and there’s no way and if I think I don’t think they intended for me to hear as much of that as I did. But I was very alert. And like, I paid a lot of attention to things that adults said. And so I heard more than I probably should have.","Sí, creo que tenía más conciencia de la que debería haber tenido. Tuve asma cuando era pequeña. Y en los años 80, antes de la ACA, las condiciones preexistentes estaban exentas de la cobertura de su plan de atención médica. Y por eso mi asma nunca estuvo cubierta. Y eso significaba que un viaje a urgencias sería exorbitante. Y un nebulizador estaba fuera de discusión. Es imposible que podamos permitírnoslo. Y los inhaladores, ya sabes, cuestan entre 50 y 60 dólares cada uno. Así que constantemente tenía miedo de tener un ataque de asma y ser, ya sabes, un problema y podía escuchar las conversaciones sobre facturas médicas y ya sabes, este médico, este médico o quieren enviarla a un neumólogo o a un médico de alergia y asma, y ​​simplemente no podemos cambiarlo y no hay manera y si creo que no creo que tuvieran la intención de que yo escuchara tanto de eso como lo hice. Pero estaba muy alerta. Y presté mucha atención a las cosas que decían los adultos. Y entonces escuché más de lo que probablemente debería haber escuchado.",0.851119399,0.142562643,0.006317994,0.917688191,0.078696139,0.003615679
"Like she said, Alyssa’s parents likely didn’t intend for her to overhear their arguments about her costly health condition. But it was no secret to the kids that their parents fought constantly.","Como ella dijo, los padres de Alyssa probablemente no tenían la intención de que ella escuchara sus argumentos sobre su costosa condición de salud. Pero para los niños no era ningún secreto que sus padres peleaban constantemente.",0.59627372,0.377887726,0.025838591,0.750039756,0.245667845,0.004292362
"Money was always like, at the heart of most of the conversations, my dad was in sales, and he had a huge territory of like, six western states. So he would always be on the road during the week, and then home on the weekends. And my mom was a stay at home mom until right about fourth grade. And she’d always baked cakes, baked cookies, made all kinds of stuff from scratch, and it was always perfect and amazing. So my entire life, we’d have these like, elaborate really cute birthday cakes, like Carebears, or Cabbage Patch Kids, you know, and they were always like, decorated, just adorable. And so she wanted to open a bakery, and she figured out how, and my dad was not really a part of that stuff. That was kind of an awkward, like, my mom’s just going to do this on her own kind of thing. And I don’t remember how they scraped up the money to like, make the bakery. I don’t remember how any of that stuff, like worked out but she started this bakery and it was wildly successful from the get go. And that took off in ways that I think neither of them had planned for or prepared for. And so we were kind of like latchkey kids at that point, which wasn’t, I think anticipated from either parent. But my dad was gone, he was working. And my mom was at the bakery.","El dinero siempre fue, en el centro de la mayoría de las conversaciones, que mi padre estaba en ventas y tenía un territorio enorme de como seis estados del oeste. Así que siempre estaba de viaje durante la semana y luego en casa los fines de semana. Y mi mamá fue ama de casa hasta aproximadamente el cuarto grado. Y ella siempre había horneado pasteles, galletas, hecho todo tipo de cosas desde cero, y siempre era perfecto y sorprendente. Así que toda mi vida, tuvimos estos pasteles de cumpleaños elaborados y realmente lindos, como Carebears o Cabbage Patch Kids, ya sabes, y siempre estaban decorados, simplemente adorables. Entonces ella quería abrir una panadería y descubrió cómo, y mi papá en realidad no era parte de eso. Eso fue un poco incómodo, como si mi mamá fuera a hacer esto por su cuenta. Y no recuerdo cómo juntaron el dinero para hacer la panadería. No recuerdo cómo funcionó todo eso, pero ella comenzó esta panadería y fue un gran éxito desde el principio. Y eso despegó de una manera que creo que ninguno de los dos había planeado o preparado. Y entonces éramos como niños con llave en ese momento, lo cual, creo, no fue anticipado por ninguno de los padres. Pero mi papá ya no estaba, estaba trabajando. Y mi mamá estaba en la panadería.",0.005819723,0.154099599,0.840080619,0.001920796,0.125846431,0.872232795
Alyssa’s mom continues to bake her incredible cakes now for paying customers. And the demand is up.,La mamá de Alyssa continúa horneando sus increíbles pasteles para los clientes que pagan. Y la demanda ha aumentado.,0.014866201,0.293507308,0.691626489,0.001479213,0.010336622,0.988184094
"She had started doing like booking wedding cakes out almost like a year in advance because she was so popular. And her cakes were so good. Everything was from scratch. The frosting was amazing. And so she had booked this cake and it was the most expensive cake she’d done to date, I think it was 2500 bucks, which in the 80s holy shit, like who pays that? I don’t even know even today. I’m like, who are you people but and it had these white chocolate ribbons all around it that she’d had to make from scratch like by hand, you know, she’s like hand forming these ribbons around these like metal dowels and trying to get them to shape just right and everything. So it took her like three days to make this cake, it was unreal. And she was delivering it at this ballroom. And they had just wax the floor and they didn’t have a sign up. And she was carrying the bass, which was like over 50 pounds. It was huge. And she didn’t have anyone helping her. And she went to take a step in the ballroom to start crossing the floor and she like absolute acid over teakettle flipped up in the air. And she hit the ground with the full force like on her lower back. And she saved the cake. There were like two little thumb holes in either side of the base of the cake because she was so frantic about how much money that cake cost, what that would represent if she had to kind of give them a reimbursement or whatever. And also, she was, I think, heavily cognizant of this being someone’s special day and she didn’t want to ruin it, so she was like, oh, shit. So she predicted the cake at all costs and took the hit on her back and ended up severing a fusion that she’d had done a couple years prior in her lower back or lumbar spine. And then additionally, it broke her pelvis. But they didn’t identify that her pelvis was broken until a couple of months after, but she was in exorbitant pain the whole entire time and couldn’t figure out why. And so she went back in and they did I think get an MRI or whatever the hell they do, and they were like, oh, that’s less than ideal. And they had to go in and break it and refix it like reef, set it basically. So for about nine months, she was kind of, you know, at a commission and off her feet, and everybody else was still kind of working at the bakery, like the employees and the business partner that she had found. But they weren’t her. All the recipes were in her head. Like she knew how long to whip the butter before adding the sugar to make it really fluffy, you know, for the frosting. And so people didn’t know what she knew. And they weren’t able to keep up with the demand. She ended up having to sell her share of the bakery. And I don’t remember how much money it ended up being but it was like a pittance. But it was like nothing compared to what she’d put into it. And I remember that being like a sharp right turn of the before her and the after her. I think it like a level of bitterness was exposed that I hadn’t seen before.","Había empezado a reservar pasteles de boda con casi un año de antelación porque era muy popular. Y sus pasteles eran tan buenos. Todo fue desde cero. El glaseado quedó increíble. Entonces ella había reservado este pastel y era el pastel más caro que había hecho hasta la fecha, creo que eran 2500 dólares, que en los años 80, mierda, ¿quién paga eso? Ni siquiera lo sé hoy. Yo digo, ¿quiénes son ustedes, pero tenía estas cintas de chocolate blanco alrededor que había tenido que hacer desde cero, como a mano? Ya saben, ella es como si fuera a mano formando estas cintas alrededor de estos, como clavijas de metal, y tratando de haz que tomen la forma adecuada y todo. Entonces le tomó como tres días hacer este pastel, fue irreal. Y ella lo estaba pronunciando en este salón de baile. Y acababan de encerar el piso y no tenían ningún registro. Y ella llevaba el bajo, que pesaba más de 50 libras. Era enorme. Y ella no tenía a nadie ayudándola. Y fue a dar un paso en el salón de baile para empezar a cruzar la pista y le gustó ácido absoluto sobre una tetera volteada en el aire. Y golpeó el suelo con toda su fuerza, como en la parte baja de su espalda. Y ella salvó el pastel. Había como dos pequeños agujeros para los pulgares a cada lado de la base del pastel porque estaba muy frenética por cuánto dinero costaría ese pastel, qué representaría eso si tuviera que darles un reembolso o lo que fuera. Y además, creo que ella era muy consciente de que este era el día especial de alguien y no quería arruinarlo, así que dijo, oh, mierda. Así que predijo el pastel a toda costa, recibió el golpe en la espalda y terminó cortando una fusión que se había hecho un par de años antes en la zona lumbar o en la columna lumbar. Y además, le rompió la pelvis. Pero no identificaron que su pelvis estaba rota hasta un par de meses después, pero ella estuvo con un dolor exorbitante todo el tiempo y no podía entender por qué. Entonces ella volvió a entrar y creo que le hicieron una resonancia magnética o lo que sea que hagan, y dijeron, oh, eso no es lo ideal. Y tuvieron que entrar, romperlo y repararlo como un arrecife, básicamente arreglarlo. Entonces, durante unos nueve meses, ella estuvo, ya sabes, en una comisión y fuera de servicio, y todos los demás seguían trabajando en la panadería, como los empleados y el socio comercial que había encontrado. Pero ellos no eran ella. Todas las recetas estaban en su cabeza. Como si supiera cuánto tiempo batir la mantequilla antes de agregar el azúcar para que quede muy esponjosa, ya sabes, para el glaseado. Y entonces la gente no sabía lo que ella sabía. Y no pudieron satisfacer la demanda. Al final tuvo que vender su parte de la panadería. Y no recuerdo cuánto dinero terminó siendo, pero era como una miseria. Pero no era nada comparado con lo que ella había puesto en él. Y recuerdo que fue como un giro brusco a la derecha del antes y el después de ella. Creo que fue como si se expusiera un nivel de amargura que no había visto antes.",0.084839508,0.658768296,0.256392181,0.008927092,0.152833655,0.838239253
"That bitterness piece that can really, really take a toll and I’m wondering how it kind of seeped into her personality, her parenting her relationship with you. How did that sort of unfold at home?","Esa parte de amargura que realmente puede pasar factura y me pregunto cómo se filtró en su personalidad, en su crianza y en su relación contigo. ¿Cómo se desarrolló eso en casa?",0.85232985,0.141528651,0.006141549,0.892319322,0.10432858,0.003352109
"Yeah, I think the fights with my parents got a lot more aggressive, they got a lot more violent, they got a lot more frequent. There was this moment where my parents were fighting. And my mom was just absolutely badgering the shit out of my dad. And I was like, screaming at them to stop fighting. And she reached up to like, I don’t know what she was going to do to him. But she ended up climbing the whole side of his face. And it was like a plate open like a bear. Like it looked like a bear had gotten him. And I was like, what in the fuck just happened? I remember being so terrified. And I was so mad at my dad, because he didn’t stop it. Like, he was always taking it from her. And it was always one sided in terms of that level of aggression and like maliciousness, and I could never understand, like, what the hell was going on. And that day, my dad grabbed me by the arm, because I was in the hallway, like kind of causing a scene and trying to get them to stop and seeing if I could distract the action. And he grabbed the keys. And he just ran out the front door. And we left and we went to this little diner, like a half a mile from home, if we could have run into 80 million people that we knew, I don’t know why he picked that place, probably. His adrenaline was just dumping and we sat there and my dad said, you can’t be mad at your mom for this. You can’t be mad at her for this, you don’t know what she’s been through. And I remember just thinking, I don’t care what she’s been through. She doesn’t need to act like that you know, and he told me some stories about my mom’s childhood and what she had lived through and gone through and, and they were horrendous stories. I remember sitting there trying to eat my french toast and being like, it felt it felt like watching a TV show. Like it didn’t feel like this is my mom he’s talking about it felt like some weird like, person off in the distance. And you’re like watching this narrative. And you’re like, wow, that’s, I don’t even know how to take that in. So he was really trying to compensate for like the bullshit of how she was showing up. And I remember being irritated at him for like, excusing it. And part of that was like that innate like little justice seeker. I have like the righteousness like it doesn’t matter. Like it’s not right that she’s like that.","Sí, creo que las peleas con mis padres se volvieron mucho más agresivas, mucho más violentas, mucho más frecuentes. Hubo un momento en el que mis padres estaban peleando. Y mi mamá estaba absolutamente molestando a mi papá. Y yo estaba como gritándoles que dejaran de pelear. Y ella se acercó y dijo: No sé qué le iba a hacer. Pero ella terminó subiendo por todo un costado de su cara. Y era como un plato abierto como un oso. Parecía como si un oso lo hubiera atrapado. Y yo estaba como, ¿qué carajo acaba de pasar? Recuerdo estar tan aterrorizado. Y estaba muy enojada con mi papá, porque él no lo detuvo. Como si él siempre se lo estuviera quitando. Y siempre fue unilateral en términos de ese nivel de agresión y malicia, y nunca pude entender qué diablos estaba pasando. Y ese día, mi papá me agarró del brazo, porque estaba en el pasillo, como como causando una escena y tratando de que se detuvieran y viendo si podía distraer la acción. Y agarró las llaves. Y simplemente salió corriendo por la puerta principal. Y nos fuimos y fuimos a este pequeño restaurante, como a media milla de casa, si hubiéramos podido encontrarnos con 80 millones de personas que conocíamos, probablemente no sé por qué eligió ese lugar. Su adrenalina simplemente estaba bajando y nos sentamos allí y mi papá dijo, no puedes enojarte con tu mamá por esto. No puedes enojarte con ella por esto, no sabes por lo que ha pasado. Y recuerdo haber pensado: no me importa por lo que haya pasado. Ella no necesita actuar así, ¿sabes? Y él me contó algunas historias sobre la infancia de mi madre y lo que ella había vivido y pasado, y eran historias horrendas. Recuerdo estar sentado allí tratando de comer mi tostada francesa y pensar que era como estar viendo un programa de televisión. Como si no se sintiera como si estuviera hablando de mi mamá, sino como si fuera una persona extraña en la distancia. Y estás como viendo esta narrativa. Y dices, guau, es decir, ni siquiera sé cómo asimilar eso. Así que él realmente estaba tratando de compensar la mierda de cómo ella se estaba presentando. Y recuerdo estar irritado con él por excusarlo. Y parte de eso era así de innato, como un pequeño buscador de justicia. Me gusta la justicia como si no importara. Como si no estuviera bien que ella fuera así.",0.921372175,0.071690045,0.006937807,0.879963994,0.115725406,0.004310519
"Alyssa knew her parents marriage had always been rocky. But this feels like a real turning point because her mom and dad eventually do get a divorce. Meanwhile, her mom sinks deeper into the bitterness of losing her livelihood and suffering from chronic pain. She’s no longer acting like the amazingly capable and attentive mom Alyssa had come to know and love. Everything shifted.","Alyssa sabía que el matrimonio de sus padres siempre había sido difícil. Pero esto parece un verdadero punto de inflexión porque su mamá y su papá finalmente se divorcian. Mientras tanto, su madre se hunde más en la amargura de perder su medio de vida y sufrir dolor crónico. Ya no actúa como la madre increíblemente capaz y atenta que Alyssa había llegado a conocer y amar. Todo cambió.",0.963378429,0.032785654,0.003835905,0.694945216,0.266204953,0.038849823
"We were in the car, I can vividly remember the day I can feel the sunlight, I can see where we were on the driveway. Like I know every second of the scene. And I saw a pack of cigarettes on the ground in the car. And I remember being like, why are there cigarettes in the car? Like I have asthma, I can’t be around any smoke of any kind. And so that doesn’t make any sense. And I looked at her and I was like, why are their cigarettes in the car? And she said, what I do with my life is none of your business. And I remember thinking, I’m sorry, what? Like, what just happened? What just happened? Are you essentially admitting that like, those are yours, and I leapt out of the car, I was furious. I was like, I don’t even know who this person is like, what a complete bitch. I was so angry. And that was kind of like, you know, the second of the dominoes to fall and then they started falling much more quickly in sequence. And it was like, here’s the order of things. It’s gone, like what you had before is gone. This is not the mom you thought you had.","Estábamos en el auto, recuerdo vívidamente el día, puedo sentir la luz del sol, puedo ver dónde estábamos en el camino de entrada. Como si supiera cada segundo de la escena. Y vi un paquete de cigarrillos en el suelo del coche. Y recuerdo haber pensado: ¿por qué hay cigarrillos en el auto? Como tengo asma, no puedo estar cerca de ningún tipo de humo. Y eso no tiene ningún sentido. Y la miré y pensé, ¿por qué están sus cigarrillos en el auto? Y ella dijo, lo que yo haga con mi vida no es asunto tuyo. Y recuerdo haber pensado, lo siento, ¿qué? ¿Qué acaba de pasar? ¿Lo que acaba de suceder? ¿Estás esencialmente admitiendo que esos son tuyos? Salté del auto, estaba furioso. Pensé, ni siquiera sé quién es esta persona, qué completa perra. Yo estaba tan enojado. Y eso fue como, ya sabes, la segunda ficha de dominó en caer y luego comenzaron a caer mucho más rápido en secuencia. Y fue como, aquí está el orden de las cosas. Se ha ido, como si lo que tenías antes se hubiera ido. Esta no es la mamá que creías tener.",0.601497591,0.376427114,0.022075238,0.449818492,0.539425433,0.010756055
"Alyssa is a […] childhood is shattered, and the pieces feel impossible to pick up. Her mom stops becoming someone to look up to. In fact, she starts morphing into the opposite of everything Alyssa wants to be. For one, her mom starts smoking pot. And to Alyssa this kind of behavior is inconceivable.","Alyssa es una […] infancia destrozada y parece imposible recoger los pedazos. Su madre deja de ser alguien a quien admirar. De hecho, comienza a transformarse en lo opuesto a todo lo que Alyssa quiere ser. Por un lado, su madre empieza a fumar marihuana. Y para Alyssa este tipo de comportamiento es inconcebible.",0.978149116,0.019233506,0.002617347,0.974822521,0.022511588,0.002665954
"Oh, God, I just remember. I mean, I was a straight laced perfect kid, right? I did not break with asthma. Yeah, I was good. I didn’t break the rules. I you know, followed instructions and paid attention and so yeah, she started smoking pot. And I remember just being like ew, like my friends don’t even smoke pot, like who are you? And this was probably like eighth or ninth grade right about in there. And I was like, I gotta get out of here. And I went to live with my dad.","Dios mío, acabo de recordarlo. Quiero decir, yo era un niño perfecto y serio, ¿verdad? No rompí con el asma. Sí, estuve bien. No rompí las reglas. Ya sabes, seguí las instrucciones y presté atención y sí, empezó a fumar marihuana. Y recuerdo haber sido como ew, como si mis amigos ni siquiera fumaran marihuana, como ¿quién eres tú? Y esto probablemente era como octavo o noveno grado por ahí. Y yo pensé: tengo que salir de aquí. Y me fui a vivir con mi papá.",0.023682652,0.465097606,0.51121974,0.03764753,0.433431655,0.528920829
The slow motion unraveling of like Pinterest mom is a lot. That’s a lot to have to acclimate to.,El desmoronamiento en cámara lenta de una mamá como Pinterest es mucho. Es mucho a lo que tener que aclimatarse.,0.95998621,0.034000613,0.006013258,0.066962659,0.87462461,0.058412686
"There was like a switch flipped for sure. And it felt like maybe I just didn’t see what was there the whole time. But I think the narrative that kind of became a red main theme throughout our life at that point was what a victim she was like how everything bad happened to her, like, you know, the bakery was taken from her. She didn’t get what she deserved. So it was like, her way of getting back at life, I guess was just to rebel and do whatever the hell she thought she wanted.","Seguramente fue como si se hubiera accionado un interruptor. Y sentí como si tal vez no hubiera visto lo que había allí en todo el tiempo. Pero creo que la narrativa que se convirtió en un tema principal a lo largo de nuestra vida en ese momento fue lo víctima que era, cómo le pasó todo lo malo, como, ya sabes, le quitaron la panadería. Ella no obtuvo lo que se merecía. Así que supongo que su forma de volver a la vida era simplemente rebelarse y hacer lo que ella pensaba que quería.",0.924952388,0.070856586,0.00419103,0.401806772,0.589864314,0.008328943
"Alyssa graduated high school and is determined to get away from her mom. She’s also acutely aware that her mom is moving on to harder drugs, and she’s completely fed up with her behavior. So Melissa moves to Washington State for college and the to stop talking.",Alyssa se graduó de la escuela secundaria y está decidida a alejarse de su madre. También es muy consciente de que su madre está pasando a consumir drogas más duras y está completamente harta de su comportamiento. Entonces Melissa se muda al estado de Washington para ir a la universidad y dejar de hablar.,0.879018307,0.115578145,0.005403528,0.473980546,0.50870645,0.017313015
"When my graduation came around, my whole family drove up and they brought my mom and she looked decent. She looked okay, so I kind of thought, oh, wow, this is, you know, looking a little better. Well, that next that next summer, she met a man who would become my stepdad. And they had like an a fire and ice kind of relationship, like they were either really good or really bad. And I was accustomed to that with my mom. He had an anger disorder called intermittent explosive disorder. And he was violent and aggressive and really angry, and then he’d be awesome. And he’d be awesome for days, sometimes weeks, and then it would, there’d be an explosion and it was like this, you know, unsteady ground, you never knew what you’re gonna get. And I had stayed back in Washington, I was going to try and make it there. And I couldn’t make it work. I think I felt isolated and alone. And I kind of missed the idea of a community. I didn’t really feel rooted where I was. And so my mom and my stepdad drove up. And they brought me a car.","Cuando llegó mi graduación, toda mi familia llegó y trajeron a mi mamá y ella se veía decente. Se veía bien, así que pensé, oh, vaya, ya sabes, esto se ve un poco mejor. Bueno, el próximo verano conoció a un hombre que se convertiría en mi padrastro. Y tenían una relación de fuego y hielo, como si fueran realmente buenos o realmente malos. Y yo estaba acostumbrado a eso con mi mamá. Tenía un trastorno de ira llamado trastorno explosivo intermitente. Y él era violento, agresivo y realmente enojado, y entonces sería increíble. Y él era increíble durante días, a veces semanas, y luego había una explosión y era así, ya sabes, terreno inestable, nunca sabías lo que ibas a obtener. Y me había quedado en Washington, iba a intentar llegar allí. Y no pude hacerlo funcionar. Creo que me sentí aislado y solo. Y en cierto modo extrañé la idea de una comunidad. Realmente no me sentía arraigado donde estaba. Y entonces llegaron mi mamá y mi padrastro. Y me trajeron un coche.",0.062169921,0.454570711,0.48325941,0.016046803,0.223757267,0.760195971
"Alyssa’s mom and stepdad, Rick, bring her a 1989 Toyota Camry. Now, Alyssa is considering her situation. She’s lonely in Washington and her mom who seems to be doing better, has literally brought her away out. So she decides to come back to Idaho and move in with them.","La mamá y el padrastro de Alyssa, Rick, le traen un Toyota Camry de 1989. Ahora, Alyssa está considerando su situación. Se siente sola en Washington y su madre, que parece estar mejor, literalmente la ha sacado. Entonces decide regresar a Idaho y mudarse con ellos.",0.434798181,0.543031693,0.022170117,0.019439725,0.898946762,0.081613503
"They had found this house in Meridian right outside Boise and it was rent to own. And I was like, Oh my God, how awesome and they pulled up to this house. And I remember just being like, what, like, this is way nicer than I expected you to have, you know, like moved into. It was so cute. It had a little front porch, and a big two car garage, an oversized two car garage, and it had a really cute front yard. I’d gotten a job at a hospital, I was making decent money considering you know, post 911 hardly anything you can, you’d be lucky if you could find a job and I had a college degree. And so I was considered overqualified for most of the things I wanted to apply for. I remember I came home one day and my mom, my stepdad were on the couch. They were side by side, and my stepdad said, we got a proposition for you, kiddo. And I was like, Oh, what’s that? And he’s like, we need your help financing this house. And I was like, what do you mean? And he’s like, well, we can’t get the loan. He’s like, I had a bankruptcy a couple years ago, my credit score is not high enough. I can’t get the loan, but you got a job. You got good credit. You can help us. You just need to cosign. And I was like, okay, I don’t know what any of that means. But I mean, this house is awesome. I loved it, it was beautiful. I was staying there, too it was like we’re all winning. So I did, I co signed the mortgage for my mom, my stepdad and I didn’t think anything of it. I there was no adult presence in my life going like, hey, maybe don’t do that. That might not be a presence.","Habían encontrado esta casa en Meridian, justo en las afueras de Boise, y la alquilaban con opción a compra. Y yo pensé, Dios mío, qué maravilloso, y se detuvieron en esta casa. Y recuerdo haber pensado que esto es mucho mejor de lo que esperaba que te hubieras mudado. Fue tan lindo. Tenía un pequeño porche delantero y un garaje grande para dos coches, un garaje de gran tamaño para dos coches y un patio delantero muy bonito. Conseguí un trabajo en un hospital, estaba ganando dinero decente considerando que, después del 911, casi nada se puede hacer, tendrías suerte si pudieras encontrar un trabajo y yo tuviera un título universitario. Por eso me consideraban sobrecalificado para la mayoría de las cosas a las que quería postularme. Recuerdo que un día llegué a casa y mi mamá y mi padrastro estaban en el sofá. Estaban uno al lado del otro y mi padrastro dijo: ""Tenemos una propuesta para ti, niño"". Y yo estaba como, Oh, ¿qué es eso? Y él dijo: necesitamos su ayuda para financiar esta casa. Y yo estaba como, ¿a qué te refieres? Y él dice, bueno, no podemos conseguir el préstamo. Me dijo: Hace un par de años estuve en quiebra y mi puntaje crediticio no es lo suficientemente alto. No puedo conseguir el préstamo, pero tú conseguiste un trabajo. Tienes buen crédito. Puedes ayudarnos. Sólo necesitas firmar como aval. Y yo pensé, está bien, no sé qué significa nada de eso. Pero quiero decir, esta casa es increíble. Me encantó, era hermoso. Yo también me quedé allí, era como si todos estuviéramos ganando. Así lo hice, cofirmé la hipoteca de mi mamá, mi padrastro y no pensé en nada. Si no había presencia adulta en mi vida, me decía, oye, tal vez no hagas eso. Puede que eso no sea una presencia.",0.008470342,0.091057472,0.900472164,0.001454202,0.028782183,0.969763696
