Idiom,Meaning,Idiom_NEU,Idiom_NEG,Idiom_POS,Meaning_NEU,Meaning_NEG,Meaning_POS
no tener ni pies ni cabeza,to make no sense,0.7633677124977112,0.2022719383239746,0.03436034545302391,0.9225102663040161,0.07356254756450653,0.003927211277186871
no tener pelos en la lengua,to be outspoken,0.6575862169265747,0.2946222722530365,0.0477915033698082,0.013186599127948284,0.9309045672416687,0.05590890720486641
quemarse las pestañas,to burn the midnight oil,0.5455098152160645,0.4122803807258606,0.04220975935459137,0.026459161192178726,0.9538102149963379,0.01973060891032219
ser uña y carne,to be joined at the hip,0.12317505478858948,0.7520155906677246,0.1248093992471695,0.004283157642930746,0.9078366160392761,0.08788027614355087
tomar el pelo,to pull someone’s leg,0.40384137630462646,0.5167062878608704,0.07945234328508377,0.42595189809799194,0.5607788562774658,0.013269216753542423
no ahogarse en un vaso de agua,to not sweat the small stuff,0.3741999566555023,0.5564144253730774,0.06938561797142029,0.016665354371070862,0.7691107392311096,0.21422383189201355
"Al mal tiempo, buena cara.","When life gives you lemons, make lemonade.",0.1447616070508957,0.4705013334751129,0.3847370445728302,0.007557460572570562,0.4557061493396759,0.5367363691329956
buscarle tres pies al gato,to make something more complicated than necessary,0.0774255096912384,0.8506917357444763,0.07188276201486588,0.9450487494468689,0.05194463953375816,0.0030066354665905237
Camarón que se duerme se lo lleva la corriente.,Pay attention or the opportunities will pass you by.,0.8145911693572998,0.1530112624168396,0.032397594302892685,0.02268647775053978,0.5303003787994385,0.44701316952705383
consultar con la almohada,to sleep on it,0.2816191017627716,0.5746645927429199,0.14371627569198608,0.15753726661205292,0.8300013542175293,0.012461346574127674
"En casa del herrero, cuchillo de palo.","When you’re an expert in something, you don’t apply it to your own life.",0.2027902454137802,0.7057967782020569,0.0914129987359047,0.4425899088382721,0.5427872538566589,0.014622852206230164
"Cuando se cierra una puerta, se abre una ventana.","Where one door closes, another one opens.",0.10144802927970886,0.5728812217712402,0.3256707787513733,0.018008289858698845,0.7682401537895203,0.21375159919261932
Las palabras se las lleva el viento.,Actions speak louder than words.,0.799595296382904,0.17179231345653534,0.028612375259399414,0.002644685562700033,0.0679684728384018,0.9293867945671082
Más vale pájaro en mano que ciento volando.,Focus on what you have instead of what you don’t have.,0.23028798401355743,0.59038907289505,0.17932292819023132,0.012462136335670948,0.517336368560791,0.4702014625072479
meterse en camisa de once varas,to be out of your depth,0.23850707709789276,0.7002238631248474,0.06126899644732475,0.8143938183784485,0.1798371821641922,0.005768965929746628
Un clavo saca a otro clavo.,A new person will make you forget the old one.,0.3950957953929901,0.4955456554889679,0.1093585416674614,0.003311464563012123,0.10553285479545593,0.8911556601524353
"Zapatero, a tus zapatos.",Focus on doing what you’re good at.,0.5721309781074524,0.33910736441612244,0.08876169472932816,0.0023081814870238304,0.07096744328737259,0.9267244935035706
despedirse a la francesa,to leave without saying goodbye,0.1570502370595932,0.7335485816001892,0.10940111428499222,0.4059200584888458,0.5783352851867676,0.01574467122554779
"De tal palo, tal astilla.",The apple doesn’t fall far from the tree.,0.31074103713035583,0.5346680879592896,0.15459086000919342,0.03786620870232582,0.6767968535423279,0.285336971282959
Dios los cría y ellos se juntan.,Birds of a feather flock together.,0.11741600930690765,0.6097713708877563,0.2728125751018524,0.004107942339032888,0.2922820746898651,0.7036100029945374
dormirse en los laureles,to rest on your laurels,0.1341305673122406,0.7826401591300964,0.08322922140359879,0.26369014382362366,0.7192664742469788,0.01704341731965542
echar agua al mar,to do something pointless,0.15170873701572418,0.6213958859443665,0.22689534723758698,0.936790943145752,0.05965416505932808,0.003554972354322672
echarle leña al fuego,to make matters worse,0.17613515257835388,0.7125681042671204,0.11129675805568695,0.9567365646362305,0.03995158523321152,0.003311833366751671
faltarle un tornillo,to have a screw loose,0.24689295887947083,0.6891619563102722,0.06394512206315994,0.8714620471000671,0.1225249320268631,0.00601300410926342
irse por las ramas,to beat around the bush,0.5261991024017334,0.43463215231895447,0.03916877508163452,0.3301226794719696,0.6573184728622437,0.012558848597109318
subirse al carro,to jump on the bandwagon,0.05924095958471298,0.6972650289535522,0.24349398910999298,0.016664879396557808,0.8502898812294006,0.1330452710390091
ver todo color de rosa,to see through rose-colored glasses,0.12326804548501968,0.6267944574356079,0.2499375343322754,0.04288063198328018,0.920228898525238,0.03689047321677208
estar como unas castañuelas,to be happy as a clam,0.34535321593284607,0.5562899708747864,0.09835680574178696,0.0017729527316987514,0.042010918259620667,0.956216037273407
estar de mala leche,to be in a bad mood,0.9445754289627075,0.04264203831553459,0.012782560661435127,0.9724307656288147,0.024313585832715034,0.0032555300276726484
estar frito,to be done for,0.4177345931529999,0.4403018057346344,0.1419636309146881,0.012754054740071297,0.9605782628059387,0.026667719706892967
estar hecho polvo,to be exhausted,0.6434319019317627,0.29448026418685913,0.062087904661893845,0.597876250743866,0.38950225710868835,0.012621457688510418
estar hecho un ají,to be very angry,0.5292192697525024,0.3777051270008087,0.09307564049959183,0.9595449566841125,0.03645632416009903,0.003998757805675268
estar loco de contento,to be over the moon,0.05650921165943146,0.30284926295280457,0.6406415700912476,0.002839594380930066,0.1322988122701645,0.8648616671562195
estar de mala uva,to be in a bad mood,0.900965690612793,0.08492721617221832,0.01410705503076315,0.9724307656288147,0.024313585832715034,0.0032555300276726484
quedarse de piedra,to be shocked,0.49537238478660583,0.4120275676250458,0.09259999543428421,0.41901418566703796,0.5526537299156189,0.028332063928246498
Cada loco con su tema.,To each their own.,0.24392791092395782,0.643790602684021,0.11228152364492416,0.017368031665682793,0.9212220311164856,0.06140996515750885
dar en el clavo,to hit the nail on the head,0.40559282898902893,0.3892579972743988,0.20514914393424988,0.013962823897600174,0.34866806864738464,0.6373690366744995
llover a cántaros,to rain cats and dogs,0.12338732928037643,0.48107147216796875,0.39554116129875183,0.03114544413983822,0.9457328915596008,0.023121651262044907
meter la pata,to mess up,0.43782544136047363,0.47868621349334717,0.0834883600473404,0.928828239440918,0.0662703812122345,0.004901465959846973
matar dos pájaros de un tiro,to kill two birds with one stone,0.4154386818408966,0.5140643119812012,0.0704970434308052,0.11678802967071533,0.8602436184883118,0.022968357428908348
perder los estribos,to fly off the handle,0.40668126940727234,0.543014407157898,0.0503043569624424,0.1729678213596344,0.8071985244750977,0.019833693280816078
tirar la casa por la ventana,to spare no expense,0.24767433106899261,0.6445367336273193,0.10778897255659103,0.028979921713471413,0.9370145797729492,0.034005552530288696
Take his word for it,Hay que darle el beneficio de la duda,0.16285133361816406,0.4160967171192169,0.421051949262619,0.007862592115998268,0.9645583629608154,0.027578987181186676
Take the good with the bad,El que se come la carne que se coma también el hueso,0.40067681670188904,0.40801018476486206,0.19131293892860413,0.03099086694419384,0.9537574052810669,0.015251707285642624
Take the good with the bad,Vayan las verdes por las maduras,0.40067681670188904,0.40801018476486206,0.19131293892860413,0.008197122253477573,0.9595863819122314,0.032216474413871765
Take the horse by the reigns,Coger el sartén por el mango,0.15854419767856598,0.4754670560359955,0.36598870158195496,0.006129356566816568,0.9563795924186707,0.03749104589223862
Take with a grain of salt,Las cosas se toman según de quien vengan,0.20152300596237183,0.5302373170852661,0.2682396471500397,0.00857565924525261,0.9588472843170166,0.03257705271244049
Test the waters,Hay que estirar los pies hasta donde llegue la sábana,0.2791103720664978,0.49444183707237244,0.22644782066345215,0.011113345623016357,0.96769118309021,0.021195465698838234
That’s a whole different story,Eso es harina de otro costal,0.29056334495544434,0.5370040535926819,0.17243258655071259,0.007181549910455942,0.9649972319602966,0.027821186929941177
That’s a whole different story,Eso son otros veinte pesos,0.29056334495544434,0.5370040535926819,0.17243258655071259,0.011490455828607082,0.9508296251296997,0.03767990320920944
That’s all she wrote,"Para al carajo albañil, que se acabó la mezcla",0.12622013688087463,0.5796787738800049,0.2941010892391205,0.006432822905480862,0.9606713056564331,0.03289587050676346
The apple doesn’t fall far from the tree,"De tal padre, tal hijo",0.26343244314193726,0.49907219409942627,0.23749539256095886,0.014403476379811764,0.9548048377037048,0.030791612342000008
The bee’s knees,Creerse la última Coca Cola del desierto,0.3136775493621826,0.48768457770347595,0.19863787293434143,0.0038088501896709204,0.9199634790420532,0.07622766494750977
The best of both worlds,"Es como el perro del hortelano, que ni come ni deja comer",0.04384464770555496,0.14347834885120392,0.8126770257949829,0.007328376639634371,0.9680878520011902,0.02458372339606285
The best thing since sliced bread,Creerse la última Coca cola del desierto,0.03254910558462143,0.13107728958129883,0.8363735675811768,0.003947925288230181,0.9250269532203674,0.0710250586271286
The blind leading the blind,Es como un ciego guiando a otro ciego,0.3394019901752472,0.4970574975013733,0.16354051232337952,0.005716185085475445,0.9642075896263123,0.030076267197728157
The early bird catches the worm,"Al que madruga, Dios lo ayuda",0.3518522381782532,0.47596678137779236,0.17218098044395447,0.009528489783406258,0.9687864184379578,0.021685102954506874
The fox guarding the chicken coop,Poner el cabro a velar las lechugas,0.28160205483436584,0.6054041981697083,0.1129937469959259,0.007549874950200319,0.9643406271934509,0.028109479695558548
The grass is greener on the other side,La luz de adelante es la que alumbra,0.29238641262054443,0.40362274646759033,0.30399084091186523,0.01153064239770174,0.9628449082374573,0.025624483823776245
The Lord works in mysterious ways,Dios aprieta pero no ahoga,0.0471247173845768,0.1964404135942459,0.7564349174499512,0.03444909676909447,0.9537444710731506,0.011806455440819263
The more the merrier,"Donde comen dos, comen tres",0.4242829978466034,0.41597065329551697,0.15974631905555725,0.007956073619425297,0.9488607048988342,0.043183229863643646
The person is a bad apple,Cuando no está preso lo andan buscando,0.8117765188217163,0.15302227437496185,0.03520120680332184,0.020226791501045227,0.968051552772522,0.011721721850335598
The pot calling the kettle black,Un conejo [burro] hablando del tamaño de las orejas,0.27294450998306274,0.5660596489906311,0.16099579632282257,0.007802800741046667,0.9735817313194275,0.018615415319800377
The pot calling the kettle black,Un muerto hablando de un ahorcado,0.27294450998306274,0.5660596489906311,0.16099579632282257,0.0065086339600384235,0.9691004157066345,0.024390934035182
The quickest way to a man’s heart is through his stomach,El amor entra por la cocina,0.3733659088611603,0.29670998454093933,0.3299241065979004,0.0053178188391029835,0.9580174684524536,0.0366646908223629
The road to hell is paved with good intentions,El infierno está lleno de buenas intenciones,0.10600991547107697,0.26520851254463196,0.6287815570831299,0.008772429078817368,0.971036970615387,0.02019057422876358
The rotten apple spoils the barrel,Una manzana podrida daña el barril,0.3408537209033966,0.5417745113372803,0.1173718124628067,0.006513983942568302,0.9597161412239075,0.03376990929245949
The straw that broke the camel’s back,La gota que colmó la copa,0.5765793323516846,0.3298299312591553,0.09359075129032135,0.007170601282268763,0.9688056111335754,0.024023763835430145
The war’s not over yet,Una batalla no gana una guerra,0.6071894764900208,0.29409539699554443,0.0987151563167572,0.04810833930969238,0.9374558329582214,0.014435762539505959
There is a remedy for everything except death,"En la vida todo tiene remedio, menos la muerte",0.22349832952022552,0.5169937014579773,0.259507954120636,0.013387739658355713,0.9685236215591431,0.018088562414050102
There is an exception to every rule,No hay regla sin excepción,0.08711734414100647,0.4771883189678192,0.43569430708885193,0.2320103496313095,0.7585961818695068,0.00939352996647358
There’s a sucker born every minute,Todo los días se tira un bobo a la calle,0.4231913685798645,0.48243939876556396,0.09436924755573273,0.006205386482179165,0.9639818668365479,0.0298127681016922
There’s no accounting for tastes,Hay gustos que merecen palos,0.5063420534133911,0.4394752085208893,0.05418273061513901,0.014808323234319687,0.9589993357658386,0.0261923186480999
There’s no accounting for tastes,Sobre los gustos no hay nada escrito,0.5063420534133911,0.4394752085208893,0.05418273061513901,0.07375968992710114,0.9145878553390503,0.01165243424475193
There’s no place like home,Seguro es el pájaro en el nido,0.18601562082767487,0.38730359077453613,0.4266807734966278,0.008247030898928642,0.9678366184234619,0.023916328325867653
There’s none so deaf as those who will not hear,No hay peor ciego que el que no quiere ver,0.8353156447410583,0.1180671751499176,0.046617187559604645,0.13841213285923004,0.8491836190223694,0.012404202483594418
Thin as a rail,Lo que te queda es el solar y no es tuyo,0.3031962513923645,0.5075547695159912,0.1892489790916443,0.01617007702589035,0.9674637317657471,0.016366170719265938
Things are getting ugly,Esto ya pasa de castaño oscuro,0.9455991983413696,0.041724663227796555,0.012676149606704712,0.00616121431812644,0.9619364142417908,0.031902361661195755
Things are taking a turn for the worse,Esto ya pasa de castaño oscuro,0.8072302341461182,0.1563018411397934,0.03646796569228172,0.00616121431812644,0.9619364142417908,0.031902361661195755
Three’s a charm,La tercera es la vencida,0.08162738382816315,0.6313227415084839,0.2870498597621918,0.014095654711127281,0.9518959522247314,0.03400837257504463
Timbuktu,Anduvo la Ceca y la Meca,0.2376306802034378,0.6068393588066101,0.15552997589111328,0.006777232978492975,0.9510260224342346,0.042196765542030334
Time heals all wounds,El tiempo lo cura todo,0.23070164024829865,0.4615461230278015,0.30775219202041626,0.009825685992836952,0.9676757454872131,0.022498542442917824
Time is money,El tiempo es oro,0.13408951461315155,0.3897767663002014,0.4761337339878082,0.011767584830522537,0.955918550491333,0.032313890755176544
To all be in the same boat,Somos muchos los hijos del muerto,0.31815552711486816,0.5101392865180969,0.17170515656471252,0.014598572626709938,0.9617514610290527,0.02364995889365673
To be in a jam,Estar con la soga al cuello,0.1307564675807953,0.6628338694572449,0.20640964806079865,0.005328650586307049,0.9541548490524292,0.04051653668284416
To be in the same boat,Mal de muchos consuelo de tontos,0.23815469443798065,0.5217351913452148,0.2401101440191269,0.010210639797151089,0.9586631059646606,0.031126201152801514
To be scared out of your mind,Quedarse con los pelos de punta,0.6409865617752075,0.28138288855552673,0.07763052731752396,0.01217061746865511,0.964144229888916,0.02368520200252533
To be worked to death,Ha corrido hasta sin aceite,0.6058691143989563,0.290848970413208,0.10328195244073868,0.01857556588947773,0.9590768814086914,0.02234754152595997
To each his own,Cada cual a lo suyo,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.006237729452550411,0.943406343460083,0.05035588890314102
To each his own,Cada gallina a su gallinero,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.008430281654000282,0.9566901922225952,0.03487948328256607
To each his own,Cada loco con su tema,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.006066310219466686,0.9464460611343384,0.04748757556080818
To each his own,Cada oveja con su pareja,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.0066064163111150265,0.951130747795105,0.042262811213731766
To each his own,Hay de todo en la viña del Señor,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.006987024564296007,0.9656941890716553,0.027318742126226425
To each his own,"Para los gustos, los colores",0.1253621131181717,0.5458125472068787,0.3288253843784332,0.0075315809808671474,0.9555914402008057,0.03687693178653717
To each his own,Sobre los gustos no hay nada escrito,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.07375968992710114,0.9145878553390503,0.01165243424475193
To each his own,Zapatero a sus zapatos,0.1253621131181717,0.5458125472068787,0.3288253843784332,0.015527785755693913,0.9571817517280579,0.02729048952460289
To feel like a million bucks,Sentirse como un billete de cien pesos,0.25692933797836304,0.5081905722618103,0.23488008975982666,0.00682813348248601,0.9584502577781677,0.03472156822681427
To get what’s coming to you,Alábate pollo que mañana te guisan,0.0779363214969635,0.48360541462898254,0.4384581744670868,0.006269736681133509,0.9662269949913025,0.027503209188580513
To give away the house,El que da lo que tiene a pedir se atiene,0.2521240711212158,0.5808531641960144,0.16702277958393097,0.008362838067114353,0.9656340479850769,0.026003120467066765
To grab the bull by the horns,Coger al toro por los cuernos,0.2179957926273346,0.509029746055603,0.2729744613170624,0.00617905892431736,0.9527863264083862,0.04103464260697365
To have ants in your pants,Tener hormiguillas en el culo,0.20084865391254425,0.4426010549068451,0.35655030608177185,0.007216939236968756,0.9574131369590759,0.035369906574487686
To have one’s hair stand on end,Quedarse con los pelos de punta,0.22078128159046173,0.5896695256233215,0.18954916298389435,0.01217061746865511,0.964144229888916,0.02368520200252533
To have pie on his face,Volvió con el rabo entre medio de las patas,0.3059127926826477,0.41804903745651245,0.27603814005851746,0.006071493029594421,0.9650790691375732,0.028849493712186813
To look out for Number One,Cada cual se reparte con la cuchara grande,0.10794169455766678,0.6226279139518738,0.26943036913871765,0.00698872422799468,0.9569349884986877,0.03607623279094696
To make a long story short,Para hacerte el cuento corto,0.1765400618314743,0.5991921424865723,0.22426779568195343,0.006364978384226561,0.9584652781486511,0.035169728100299835
To make a mountain out of a molehill,Ahogarse en un vaso de agua,0.2120663821697235,0.5296273231506348,0.2583063542842865,0.0071357861161231995,0.9573547840118408,0.03550940379500389
To make something good from nothing,Hay que hacer de tripas corazones,0.08007126301527023,0.3508281409740448,0.569100558757782,0.011393860913813114,0.9634630680084229,0.025143025442957878
To mix like oil and water,Ser como el aceite y el vinagre,0.10935477912425995,0.507122814655304,0.3835223913192749,0.006560037843883038,0.9575647115707397,0.03587520122528076
To not defend oneself,No da un tajo ni en defensa propia,0.545086681842804,0.3655252754688263,0.08938804268836975,0.023982848972082138,0.9597663283348083,0.016250818967819214
To not have anything to hide,El que no tiene hechas no tiene sospechas,0.609026312828064,0.31017136573791504,0.08080232888460159,0.1684417873620987,0.8192724585533142,0.012285741046071053
To reach one’s limit,El que nace para chavito prieto nunca llega a vellón,0.2936278283596039,0.5329873561859131,0.17338483035564423,0.009898572228848934,0.9661954045295715,0.023906055837869644
To roll right off of,Se le pasea el alma por el cuerpo,0.11528651416301727,0.47231048345565796,0.41240301728248596,0.006026032846421003,0.9645971059799194,0.029376907274127007
To screw up,Meter la pata,0.3447604179382324,0.5132356882095337,0.1420038640499115,0.02232683077454567,0.9426912665367126,0.0349818579852581
To slide off of,Se le pasea el alma por el cuerpo,0.168766587972641,0.5992351770401001,0.2319982349872589,0.006026032846421003,0.9645971059799194,0.029376907274127007
To sound like a broken record,Eso es como llover sobre mojado,0.6191439032554626,0.305877149105072,0.07497898489236832,0.0059762559831142426,0.9646168351173401,0.029406879097223282
To think he’s the bomb,Creerse la última Coca Cola del desierto,0.16590328514575958,0.5639809966087341,0.27011576294898987,0.0038088501896709204,0.9199634790420532,0.07622766494750977
To wipe out,Caerse como una guanábana,0.24432027339935303,0.5717366933822632,0.1839429885149002,0.009582540951669216,0.9568186402320862,0.03359884023666382
Tomorrow is another day,Mañana será otro día,0.19856339693069458,0.47070232033729553,0.3307342827320099,0.003770595183596015,0.9531354308128357,0.04309392720460892
Too many chiefs and not enough indians,Muchos caciques y pocos indios,0.8882231116294861,0.09226733446121216,0.019509512931108475,0.018074577674269676,0.9564691185951233,0.025456363335251808
Too many cooks spoil the broth,Muchos cocineros dañan la comida,0.8406239151954651,0.12902475893497467,0.030351396650075912,0.011778228916227818,0.9632924795150757,0.024929262697696686
Too much of a good thing,Todo en exceso hace daño,0.2271624356508255,0.3336867690086365,0.4391508102416992,0.005784263368695974,0.9598396420478821,0.03437604755163193
Too much of a good thing,"Lo poquito agrada, lo mucho enfada",0.2271624356508255,0.3336867690086365,0.4391508102416992,0.008996828459203243,0.9490744471549988,0.04192870482802391
Two heads are better than one,Cuatro ojos ven más que dos,0.10560935735702515,0.2005944401025772,0.6937962174415588,0.010610133409500122,0.9607576727867126,0.028632137924432755
Two heads are better than one,Dos cabezas piensan mejor que una,0.10560935735702515,0.2005944401025772,0.6937962174415588,0.01015237346291542,0.9569389224052429,0.03290872275829315
Two wrongs don’t make a right.,Dos males no hacen un bien,0.5394037365913391,0.2786640524864197,0.1819322407245636,0.37779149413108826,0.6141065955162048,0.008101887069642544
"United we stand, divided we fall",En la unión está la fuerza,0.5881174802780151,0.2982274889945984,0.1136549860239029,0.008187645114958286,0.9689938426017761,0.022818518802523613
Walls have ears,Las paredes tienen oídos y los montes ojos,0.21175512671470642,0.5438330769538879,0.24441175162792206,0.012166728265583515,0.9607700109481812,0.027063190937042236
Water under the bridge,Agua pasada no mueve molino,0.20743265748023987,0.5133974552154541,0.27916988730430603,0.0208804439753294,0.9607127904891968,0.01840680092573166
Well begun is half done,Quien bien empieza bien acaba,0.2000049501657486,0.48373156785964966,0.3162635266780853,0.009647693485021591,0.9571655988693237,0.033186670392751694
What comes around goes around,Estar probando su propia medicina,0.15339212119579315,0.3013080656528473,0.5452998280525208,0.005671485792845488,0.9602857828140259,0.03404271975159645
What comes around goes around,"Hijo eres, padre serás, según lo hiciste, así lo verás",0.15339212119579315,0.3013080656528473,0.5452998280525208,0.013144905678927898,0.9574812650680542,0.02937387488782406
What comes around goes around,"Ladrón que roba a ladrón, merece el perdón",0.15339212119579315,0.3013080656528473,0.5452998280525208,0.008423376828432083,0.949786901473999,0.04178972914814949
What goes up must come down,Todo lo que sube tiene que bajar,0.27668049931526184,0.43631836771965027,0.2870010733604431,0.006948734167963266,0.963251531124115,0.029799671843647957
"What the eye doesn’t see, the heart doesn’t grieve over","Ojos que no ven, corazón que no siente",0.3039514422416687,0.42459869384765625,0.2714498043060303,0.17653757333755493,0.8115264773368835,0.011935909278690815
"When in Rome, do as the Romans",A la tierra que fueres haz lo que vieres,0.1381099373102188,0.6016408801078796,0.26024919748306274,0.008433813229203224,0.9696730971336365,0.02189311757683754
"When in Rome, do as the Romans",¿Dónde va Vicente? Donde va la gente,0.1381099373102188,0.6016408801078796,0.26024919748306274,0.012633942998945713,0.9745489954948425,0.012817084789276123
"When it rains, it pours","Al perro flaco, todas las pulgas le caen",0.5961970686912537,0.24680227041244507,0.15700072050094604,0.007736653555184603,0.9643749594688416,0.027888353914022446
"When it rains, it pours","Cuando uno está de malas, hasta la mujer se la pega!",0.5961970686912537,0.24680227041244507,0.15700072050094604,0.006083715241402388,0.9409092664718628,0.05300696939229965
"When it rains, it pours",Del árbol caído todos hacen leña,0.5961970686912537,0.24680227041244507,0.15700072050094604,0.008327481336891651,0.9655360579490662,0.02613651752471924
"When one door closes, another one opens","Cuando una puerta se cierra, cientas se abren",0.37338006496429443,0.4627366364002228,0.1638832539319992,0.00765871349722147,0.9565315842628479,0.03580965846776962
When pigs fly,Esto será cuando la rana eche pelo,0.24280300736427307,0.49498021602630615,0.26221680641174316,0.006344589404761791,0.9663389921188354,0.027316387742757797
"When poverty comes in at the door, love flies out of the window","Cuando la pobreza entra por la puerta, el amor sale por la ventana",0.37998244166374207,0.33431190252304077,0.2857056260108948,0.005209018010646105,0.960715115070343,0.03407588601112366
"Where there’s smoke, there’s fire","Cuando el río suena, agua lleva",0.29001423716545105,0.5008196830749512,0.20916606485843658,0.006126725114881992,0.9636964201927185,0.030176902189850807
"Where there’s smoke, there’s fire",Cuando el río suena es porque algo trae,0.29001423716545105,0.5008196830749512,0.20916606485843658,0.007007677108049393,0.970695436000824,0.02229689620435238
"Where there’s smoke, there’s fire",Si el rio suena es porque agua trae,0.29001423716545105,0.5008196830749512,0.20916606485843658,0.005871850531548262,0.9644774198532104,0.029650768265128136
"While there’s life, there’s hope",Mientras haya vida hay esperanza,0.06115355342626572,0.3610991835594177,0.5777472257614136,0.008737212046980858,0.954305112361908,0.036957740783691406
Wipe the slate clean,Aquí paz y en el cielo gloria,0.15952879190444946,0.5505658388137817,0.2899053394794464,0.007831172086298466,0.9686143398284912,0.02355443872511387
Wipe the slate clean,Borrón y cuenta nueva,0.15952879190444946,0.5505658388137817,0.2899053394794464,0.008157351054251194,0.9531300067901611,0.03871256485581398
With friends like that who needs enemies?,Con amigos así no hacen falta enemigos,0.39864030480384827,0.40737250447273254,0.193987175822258,0.08575794845819473,0.8941948413848877,0.020047195255756378
With his tail between his legs,Volvió con el rabo entre medio de las patas,0.2848779857158661,0.3985867500305176,0.31653526425361633,0.006071493029594421,0.9650790691375732,0.028849493712186813
Won’t harm a fly,No mata ni una mosca,0.31731724739074707,0.5269920825958252,0.15569071471691132,0.02900317683815956,0.9518377780914307,0.01915905810892582
Worth its weight in gold,Vale más de lo que pesa en oro,0.1690736711025238,0.44836050271987915,0.38256582617759705,0.00658677751198411,0.9679083228111267,0.02550487220287323
A bird in the hand is worth two in the bush,Más vale pájaro en mano que cien volando,0.21381813287734985,0.4215936064720154,0.36458829045295715,0.015336736105382442,0.9637768864631653,0.02088642492890358
A bird in the hand is worth two in the bush,Más vale un hoy que dos mañanas,0.21381813287734985,0.4215936064720154,0.36458829045295715,0.0066499910317361355,0.9674167633056641,0.025933250784873962
A chain is only as strong as its weakest link,La soga rompe por lo más delgado,0.39276692271232605,0.3078858554363251,0.2993472218513489,0.005706156138330698,0.9667145013809204,0.027579331770539284
A chip off the old block,"De tal palo, tal astilla",0.2542802691459656,0.5529078841209412,0.19281184673309326,0.01393789891153574,0.9521288275718689,0.03393334150314331
A chip off the old block,Quien lo hereda no lo hurta,0.2542802691459656,0.5529078841209412,0.19281184673309326,0.017512738704681396,0.9620420932769775,0.020445117726922035
A friend in need is a friend indeed,Amigo en la adversidad es un amigo de verdad,0.13416321575641632,0.39208027720451355,0.47375649213790894,0.004570905584841967,0.9455261826515198,0.049902964383363724
A journey of a thousand miles begins with one step,Barco que no anda no llega a puerto,0.14009757339954376,0.512891411781311,0.3470110297203064,0.08772825449705124,0.9018354415893555,0.010436282493174076
